file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/Main.java,ssd.assignment2.Main,class,8,2,1,7,1,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,13,35,0,0,0,0,0,11,36,6,0,6,0,0,0,0,22,1,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/StudentAttendance.java,ssd.assignment2.StudentAttendance,class,1,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/CourseAttendance.java,ssd.assignment2.CourseAttendance,class,2,3,1,4,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,20,1,1,0,0,0,3,0,3,0,3,1,0,0,0,13,1,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/StudentPresence.java,ssd.assignment2.StudentPresence,class,1,2,2,0,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/StudentMark.java,ssd.assignment2.StudentMark,class,1,2,2,3,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,16,1,0,0,0,0,2,0,3,0,3,0,0,0,0,10,1,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/Reportable.java,ssd.assignment2.Reportable,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/EventReport.java,ssd.assignment2.EventReport$Type,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/EventReport.java,ssd.assignment2.EventReport,class,3,13,1,7,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,3,0,0,1,0,0,0,50,1,1,2,0,0,7,0,7,0,5,1,0,1,0,21,1,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/DateReport.java,ssd.assignment2.DateReport,class,3,3,1,7,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,20,1,1,0,0,0,1,0,3,0,3,1,0,0,0,13,1,0
./Composite/ProjectTeam6/ckmetrics/../ssd/assignment2/StudentReport.java,ssd.assignment2.StudentReport,class,3,3,1,6,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,20,1,1,0,0,0,1,0,3,0,3,1,0,0,0,13,1,0
