file,class,method,variable,usage
./Composite/project1223/ckmetrics/../hotel_management/Main.java,hotel_management.Main,main/1[java.lang.String[]],args,0
./Composite/project1223/ckmetrics/../hotel_management/Main.java,hotel_management.Main,main/1[java.lang.String[]],ap2,2
./Composite/project1223/ckmetrics/../hotel_management/Main.java,hotel_management.Main,main/1[java.lang.String[]],ap1,2
./Composite/project1223/ckmetrics/../hotel_management/Main.java,hotel_management.Main,main/1[java.lang.String[]],max,2
./Composite/project1223/ckmetrics/../hotel_management/Main.java,hotel_management.Main,main/1[java.lang.String[]],hotel,0
./Composite/project1223/ckmetrics/../hotel_management/Main.java,hotel_management.Main,main/1[java.lang.String[]],tymur,2
./Composite/project1223/ckmetrics/../hotel_management/core/Hotel.java,hotel_management.core.Hotel,Hotel/1[hotel_management.core.assignable_items.Apartment[]],apartments,1
./Composite/project1223/ckmetrics/../hotel_management/core/assignable_items/Apartment.java,hotel_management.core.assignable_items.Apartment,"Apartment/4[java.lang.String,double,int,hotel_management.core.assignable_items.furniture.Furniture[]]",area,1
./Composite/project1223/ckmetrics/../hotel_management/core/assignable_items/Apartment.java,hotel_management.core.assignable_items.Apartment,"Apartment/4[java.lang.String,double,int,hotel_management.core.assignable_items.furniture.Furniture[]]",numRooms,1
./Composite/project1223/ckmetrics/../hotel_management/core/assignable_items/Apartment.java,hotel_management.core.assignable_items.Apartment,"Apartment/4[java.lang.String,double,int,hotel_management.core.assignable_items.furniture.Furniture[]]",furniture,1
./Composite/project1223/ckmetrics/../hotel_management/core/assignable_items/Apartment.java,hotel_management.core.assignable_items.Apartment,"Apartment/4[java.lang.String,double,int,hotel_management.core.assignable_items.furniture.Furniture[]]",apartmentNumber,1
./Composite/project1223/ckmetrics/../hotel_management/core/assignable_items/Apartment.java,hotel_management.core.assignable_items.Apartment,assignToUser/1[hotel_management.core.User],furniture,1
./Composite/project1223/ckmetrics/../hotel_management/core/assignable_items/Apartment.java,hotel_management.core.assignable_items.Apartment,assignToUser/1[hotel_management.core.User],user,2
./Composite/project1223/ckmetrics/../hotel_management/core/assignable_items/abstractions/IAssignableItem.java,hotel_management.core.assignable_items.abstractions.IAssignableItem,assignToUser/1[hotel_management.core.User],user,0
