file,class,method,variable,usage
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,getComments/0,comments,1
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,Post/1[int],comments,2
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,Post/1[int],author,1
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,Post/1[int],postID,3
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,Post/1[int],content,1
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,getPostID/0,postID,1
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,addComment/1[entities.Comment],comments,1
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,getAuthor/0,author,1
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,getContent/0,content,1
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,"Post/2[entities.User,java.lang.String]",author,3
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,"Post/2[entities.User,java.lang.String]",content,3
./Decorator/ProjectTeam13/ckmetrics/../entities/Post.java,entities.Post,getRating/0,rating,1
./Decorator/ProjectTeam13/ckmetrics/../entities/WebResponse.java,entities.WebResponse,getType/0,type,1
./Decorator/ProjectTeam13/ckmetrics/../entities/WebResponse.java,entities.WebResponse,getCode/0,code,1
./Decorator/ProjectTeam13/ckmetrics/../entities/WebResponse.java,entities.WebResponse,"WebResponse/3[int,java.lang.String,java.lang.String]",code,3
./Decorator/ProjectTeam13/ckmetrics/../entities/WebResponse.java,entities.WebResponse,"WebResponse/3[int,java.lang.String,java.lang.String]",type,3
./Decorator/ProjectTeam13/ckmetrics/../entities/WebResponse.java,entities.WebResponse,"WebResponse/3[int,java.lang.String,java.lang.String]",message,3
./Decorator/ProjectTeam13/ckmetrics/../entities/WebResponse.java,entities.WebResponse,getMessage/0,message,1
./Decorator/ProjectTeam13/ckmetrics/../entities/User.java,entities.User,setPassword/1[java.lang.String],password,3
./Decorator/ProjectTeam13/ckmetrics/../entities/User.java,entities.User,getStatus/0,status,1
./Decorator/ProjectTeam13/ckmetrics/../entities/User.java,entities.User,getUserID/0,userID,1
./Decorator/ProjectTeam13/ckmetrics/../entities/User.java,entities.User,"User/2[java.lang.String,java.lang.String]",password,3
./Decorator/ProjectTeam13/ckmetrics/../entities/User.java,entities.User,"User/2[java.lang.String,java.lang.String]",username,3
