file,class,method,variable,usage
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/evaluator/decorators/VisitEvaluator.java,com.company.evaluator.decorators.VisitEvaluator,VisitEvaluator/1[com.company.evaluator.Evaluator],wrapper,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/evaluator/decorators/VisitEvaluator.java,com.company.evaluator.decorators.VisitEvaluator,getRating/1[com.company.website.Website],wrapper,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/optimizer/SEOOptimizer.java,com.company.optimizer.SEOOptimizer,getSEOOptimizer/0,optimizer,4
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/optimizer/SEOOptimizer.java,com.company.optimizer.SEOOptimizer,addWebsiteToDatabase/1[com.company.website.Website],database,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,deleteWebsite/1[com.company.website.Website],statement,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,getWebsites/1[java.lang.String],statement,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,getWebsites/1[java.lang.String],resultSet,4
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,putWebsite/1[com.company.website.Website],statement,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,getInstance/0,instance,3
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,"updateRating/2[com.company.website.Website,int]",statement,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,DatabaseManager/0,statement,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,DatabaseManager/0,connection,2
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,DatabaseManager/0,url,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/database/DatabaseManager.java,com.company.database.DatabaseManager,postWebsite/1[com.company.website.Website],statement,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/SearchEngine/SearchEngine.java,com.company.SearchEngine.SearchEngine,getInstance/0,searchEngine,4
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/SearchEngine/SearchEngine.java,com.company.SearchEngine.SearchEngine,sendQuery/1[java.lang.String],database,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/users/WebsiteOwner.java,com.company.users.WebsiteOwner,submitWebsite/1[com.company.website.Website],optimizer,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/users/WebsiteOwner.java,com.company.users.WebsiteOwner,getWebsites/0,attachedWebsites,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/MetaData.java,com.company.website.MetaData,changeDescription/1[java.util.ArrayList<java.lang.String>],metaTags,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/MetaData.java,com.company.website.MetaData,changeKeywords/1[java.util.ArrayList<java.lang.String>],metaTags,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/MetaData.java,com.company.website.MetaData,"MetaData/2[java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.String>]",metaTags,3
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/Website.java,com.company.website.Website,"Website/3[java.lang.String,java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.String>]",metaData,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/Website.java,com.company.website.Website,"Website/3[java.lang.String,java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.String>]",rating,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/Website.java,com.company.website.Website,"Website/3[java.lang.String,java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.String>]",url,4
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/Website.java,com.company.website.Website,"Website/4[java.lang.String,java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.String>,java.lang.Float]",metaData,1
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/Website.java,com.company.website.Website,"Website/4[java.lang.String,java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.String>,java.lang.Float]",rating,4
./Decorator/SearchEngine-master/ckmetrics/../src/com/company/website/Website.java,com.company.website.Website,"Website/4[java.lang.String,java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.String>,java.lang.Float]",url,4
