file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
./Iterator/ProjectTeam111/ckmetrics/../json/JSONArrayParser.java,json.JSONArrayParser,JSONArrayParser/1[json.JSONParsing<T>],true,6,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../json/JSONArrayParser.java,json.JSONArrayParser,parse/1[java.lang.String],false,10,2,1,1,3,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../json/JSONParsing.java,json.JSONParsing,parseFromJSON/1[java.lang.String],false,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/frontend/Application.java,ssd.assignment3.frontend.Application,main/1[java.lang.String[]],false,8,3,2,4,8,0,3,1,4,0,0,1,0,0,0,1,0,3,0,1,0,0,0,8,9,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendResponse.java,ssd.assignment3.backend.BackendResponse,hasMore/0,false,25,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendResponse.java,ssd.assignment3.backend.BackendResponse,getNext/0,false,17,1,2,0,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,14,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendResponse.java,ssd.assignment3.backend.BackendResponse,"BackendResponse/2[java.lang.String,json.JSONParsing<T>]",true,12,3,1,1,4,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/Iterator.java,ssd.assignment3.backend.Iterator,hasMore/0,false,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/Iterator.java,ssd.assignment3.backend.Iterator,getNext/0,false,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendClient.java,ssd.assignment3.backend.BackendClient,getPatients/0,false,13,4,1,1,5,1,2,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,8,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendClient.java,ssd.assignment3.backend.BackendClient,fetch/1[java.lang.String],false,19,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendClient.java,ssd.assignment3.backend.BackendClient,BackendClient/1[java.lang.String],true,9,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/hms/Patient.java,ssd.assignment3.hms.Patient,"Patient/3[java.lang.String,java.lang.String,java.lang.String]",true,8,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/hms/PatientFactory.java,ssd.assignment3.hms.PatientFactory,parseFromJSON/1[java.lang.String],false,6,1,1,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,1,0,false
