file,class,method,variable,usage
./Iterator/ProjectTeam111/ckmetrics/../json/JSONArrayParser.java,json.JSONArrayParser,JSONArrayParser/1[json.JSONParsing<T>],factory,2
./Iterator/ProjectTeam111/ckmetrics/../json/JSONArrayParser.java,json.JSONArrayParser,parse/1[java.lang.String],jsonData,0
./Iterator/ProjectTeam111/ckmetrics/../json/JSONParsing.java,json.JSONParsing,parseFromJSON/1[java.lang.String],data,0
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/frontend/Application.java,ssd.assignment3.frontend.Application,main/1[java.lang.String[]],args,0
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/frontend/Application.java,ssd.assignment3.frontend.Application,main/1[java.lang.String[]],nextPatient,1
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/frontend/Application.java,ssd.assignment3.frontend.Application,main/1[java.lang.String[]],patients,2
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/frontend/Application.java,ssd.assignment3.frontend.Application,main/1[java.lang.String[]],client,1
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendResponse.java,ssd.assignment3.backend.BackendResponse,getNext/0,e,0
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendResponse.java,ssd.assignment3.backend.BackendResponse,"BackendResponse/2[java.lang.String,json.JSONParsing<T>]",elementFactory,1
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendResponse.java,ssd.assignment3.backend.BackendResponse,"BackendResponse/2[java.lang.String,json.JSONParsing<T>]",jsonArray,1
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendClient.java,ssd.assignment3.backend.BackendClient,getPatients/0,patientFactory,1
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendClient.java,ssd.assignment3.backend.BackendClient,getPatients/0,jsonResponse,1
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendClient.java,ssd.assignment3.backend.BackendClient,fetch/1[java.lang.String],path,0
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/backend/BackendClient.java,ssd.assignment3.backend.BackendClient,BackendClient/1[java.lang.String],url,1
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/hms/Patient.java,ssd.assignment3.hms.Patient,"Patient/3[java.lang.String,java.lang.String,java.lang.String]",gender,2
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/hms/Patient.java,ssd.assignment3.hms.Patient,"Patient/3[java.lang.String,java.lang.String,java.lang.String]",name,2
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/hms/Patient.java,ssd.assignment3.hms.Patient,"Patient/3[java.lang.String,java.lang.String,java.lang.String]",id,2
./Iterator/ProjectTeam111/ckmetrics/../ssd/assignment3/hms/PatientFactory.java,ssd.assignment3.hms.PatientFactory,parseFromJSON/1[java.lang.String],data,0
