file,class,method,variable,usage
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/StudentAttendance.java,ssd.assignment3.StudentAttendance,StudentAttendance/1[java.lang.String],name,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/StudentAttendance.java,ssd.assignment3.StudentAttendance,toString/0,name,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/CourseAttendance.java,ssd.assignment3.CourseAttendance,CourseAttendance/1[java.lang.String],title,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/CourseAttendance.java,ssd.assignment3.CourseAttendance,CourseAttendance/1[java.lang.String],events,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/CourseAttendance.java,ssd.assignment3.CourseAttendance,toString/0,title,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/CourseAttendance.java,ssd.assignment3.CourseAttendance,iter/0,events,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,ArrayListIterator/1[java.util.ArrayList<T>],pos,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,ArrayListIterator/1[java.util.ArrayList<T>],list,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,next/0,pos,2
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,next/0,list,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,hasMore/0,pos,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,hasMore/0,list,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,get/0,pos,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/ArrayListIterator.java,ssd.assignment3.ArrayListIterator,get/0,list,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,"EventReport/2[java.time.LocalDate,ssd.assignment3.EventReport.Type]",date,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,"EventReport/2[java.time.LocalDate,ssd.assignment3.EventReport.Type]",attendees,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,"EventReport/2[java.time.LocalDate,ssd.assignment3.EventReport.Type]",type,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,toString/0,date,2
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,toString/0,title,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,toString/0,type,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,"EventReport/2[java.lang.String,ssd.assignment3.EventReport.Type]",attendees,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,"EventReport/2[java.lang.String,ssd.assignment3.EventReport.Type]",title,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,"EventReport/2[java.lang.String,ssd.assignment3.EventReport.Type]",type,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/EventReport.java,ssd.assignment3.EventReport,iter/0,attendees,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/DateReport.java,ssd.assignment3.DateReport,iter/0,events,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/DateReport.java,ssd.assignment3.DateReport,DateReport/1[java.time.LocalDate],date,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/DateReport.java,ssd.assignment3.DateReport,DateReport/1[java.time.LocalDate],events,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/DateReport.java,ssd.assignment3.DateReport,toString/0,date,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/StudentReport.java,ssd.assignment3.StudentReport,toString/0,name,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/StudentReport.java,ssd.assignment3.StudentReport,StudentReport/1[java.lang.String],courses,1
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/StudentReport.java,ssd.assignment3.StudentReport,StudentReport/1[java.lang.String],name,3
./Iterator/Team66Project3/ckmetrics/../ssd/assignment3/StudentReport.java,ssd.assignment3.StudentReport,iter/0,courses,1
