file,class,method,variable,usage
./Memento/ProjectTeam44/ckmetrics/../ui/Button.java,ui.Button,"Button/3[java.awt.Image,java.lang.String,editor.EditorContext]",context,3
./Memento/ProjectTeam44/ckmetrics/../ui/Button.java,ui.Button,"Button/3[java.awt.Image,java.lang.String,editor.EditorContext]",icon,1
./Memento/ProjectTeam44/ckmetrics/../ui/Button.java,ui.Button,"Button/3[java.awt.Image,java.lang.String,editor.EditorContext]",name,1
./Memento/ProjectTeam44/ckmetrics/../ui/MenuBar.java,ui.MenuBar,addButton/1[ui.Button],buttons,1
./Memento/ProjectTeam44/ckmetrics/../ui/MenuBar.java,ui.MenuBar,MenuBar/1[java.lang.String],name,3
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,"TransformationButton/5[java.awt.Image,java.lang.String,transformation.TransformationParams,transformation.TransformationFactory,editor.EditorContext]",creator,3
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,"TransformationButton/5[java.awt.Image,java.lang.String,transformation.TransformationParams,transformation.TransformationFactory,editor.EditorContext]",params,3
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,onClick/0,creator,1
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,onClick/0,params,1
./Memento/ProjectTeam44/ckmetrics/../editor/Editor.java,editor.Editor,"Editor/2[editor.EditorContext,ui.MenuBar]",menuBar,3
./Memento/ProjectTeam44/ckmetrics/../editor/Editor.java,editor.Editor,"Editor/2[editor.EditorContext,ui.MenuBar]",editorContext,3
./Memento/ProjectTeam44/ckmetrics/../editor/EditorContext.java,editor.EditorContext,addTransformation/1[transformation.ImageTransformation],transformations,1
./Memento/ProjectTeam44/ckmetrics/../editor/EditorContext.java,editor.EditorContext,EditorContext/1[java.awt.Image],image,1
./Memento/ProjectTeam44/ckmetrics/../editor/EditorContext.java,editor.EditorContext,restore/1[editor.EditorSnapshot],transformations,3
./Memento/ProjectTeam44/ckmetrics/../editor/EditorContext.java,editor.EditorContext,makeSnapshot/0,transformations,1
./Memento/ProjectTeam44/ckmetrics/../editor/EditorSnapshot.java,editor.EditorSnapshot,EditorSnapshot/1[java.util.ArrayList<transformation.ImageTransformation>],transformations,3
./Memento/ProjectTeam44/ckmetrics/../editor/EditorSnapshot.java,editor.EditorSnapshot,EditorSnapshot/1[java.util.ArrayList<transformation.ImageTransformation>],timestamp,1
./Memento/ProjectTeam44/ckmetrics/../editor/EditorSnapshot.java,editor.EditorSnapshot,getSnapshotDate/0,timestamp,1
./Memento/ProjectTeam44/ckmetrics/../transformation/zoom/ZoomTransformation.java,transformation.zoom.ZoomTransformation,ZoomTransformation/1[float],scale,3
./Memento/ProjectTeam44/ckmetrics/../transformation/rotation/RotateTransformation.java,transformation.rotation.RotateTransformation,RotateTransformation/1[float],angle,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,CompositeTransformation/0,children,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,getChildren/0,children,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,CompositeTransformation/1[java.util.List<transformation.ImageTransformation>],children,3
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,applyTransform/1[java.awt.Image],children,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,addTransformation/1[transformation.ImageTransformation],children,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,removeTransformation/1[int],children,1
./Memento/ProjectTeam44/ckmetrics/../transformation/color/ColorTransformation.java,transformation.color.ColorTransformation,ColorTransformation/1[java.awt.Color],color,3
./Memento/ProjectTeam44/ckmetrics/../transformation/TransformationParams.java,transformation.TransformationParams,TransformationParams/1[java.awt.Color],color,3
./Memento/ProjectTeam44/ckmetrics/../transformation/TransformationParams.java,transformation.TransformationParams,TransformationParams/1[int],factor,3
./Memento/ProjectTeam44/ckmetrics/../transformation/crop/CropTransformation.java,transformation.crop.CropTransformation,CropTransformation/1[java.awt.Rectangle],rectangle,1
