file,class,method,variable,usage
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],editor,0
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],zoomIcon,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],im,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],rotateTransform,2
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],colorParams,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],editorContext,7
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],colorBtnName,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],zoomTransform,2
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],args,0
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],menuBar,3
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],zoomCreator,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],zoomBtnName,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],colorIcn,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],colorCreator,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],zoomBtn,2
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],zoomParams,1
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],colorBtn,2
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],snapshot,2
./Memento/ProjectTeam44/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],compositeTransform,7
./Memento/ProjectTeam44/ckmetrics/../ui/ImageSaveButton.java,ui.ImageSaveButton,"ImageSaveButton/3[java.awt.Image,java.lang.String,editor.EditorContext]",btnName,1
./Memento/ProjectTeam44/ckmetrics/../ui/ImageSaveButton.java,ui.ImageSaveButton,"ImageSaveButton/3[java.awt.Image,java.lang.String,editor.EditorContext]",icn,1
./Memento/ProjectTeam44/ckmetrics/../ui/ImageSaveButton.java,ui.ImageSaveButton,"ImageSaveButton/3[java.awt.Image,java.lang.String,editor.EditorContext]",context,1
./Memento/ProjectTeam44/ckmetrics/../ui/Button.java,ui.Button,"Button/3[java.awt.Image,java.lang.String,editor.EditorContext]",btnName,1
./Memento/ProjectTeam44/ckmetrics/../ui/Button.java,ui.Button,"Button/3[java.awt.Image,java.lang.String,editor.EditorContext]",icn,1
./Memento/ProjectTeam44/ckmetrics/../ui/Button.java,ui.Button,"Button/3[java.awt.Image,java.lang.String,editor.EditorContext]",context,2
./Memento/ProjectTeam44/ckmetrics/../ui/ImagePickerButton.java,ui.ImagePickerButton,"ImagePickerButton/3[java.awt.Image,java.lang.String,editor.EditorContext]",btnName,1
./Memento/ProjectTeam44/ckmetrics/../ui/ImagePickerButton.java,ui.ImagePickerButton,"ImagePickerButton/3[java.awt.Image,java.lang.String,editor.EditorContext]",icn,1
./Memento/ProjectTeam44/ckmetrics/../ui/ImagePickerButton.java,ui.ImagePickerButton,"ImagePickerButton/3[java.awt.Image,java.lang.String,editor.EditorContext]",context,1
./Memento/ProjectTeam44/ckmetrics/../ui/MenuBar.java,ui.MenuBar,addButton/1[ui.Button],btn,1
./Memento/ProjectTeam44/ckmetrics/../ui/MenuBar.java,ui.MenuBar,MenuBar/1[java.lang.String],name,2
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,"TransformationButton/5[java.awt.Image,java.lang.String,transformation.TransformationParams,transformation.TransformationFactory,editor.EditorContext]",btnName,1
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,"TransformationButton/5[java.awt.Image,java.lang.String,transformation.TransformationParams,transformation.TransformationFactory,editor.EditorContext]",creator,2
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,"TransformationButton/5[java.awt.Image,java.lang.String,transformation.TransformationParams,transformation.TransformationFactory,editor.EditorContext]",icn,1
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,"TransformationButton/5[java.awt.Image,java.lang.String,transformation.TransformationParams,transformation.TransformationFactory,editor.EditorContext]",params,2
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,"TransformationButton/5[java.awt.Image,java.lang.String,transformation.TransformationParams,transformation.TransformationFactory,editor.EditorContext]",editorContext,1
./Memento/ProjectTeam44/ckmetrics/../ui/TransformationButton.java,ui.TransformationButton,onClick/0,tr,1
./Memento/ProjectTeam44/ckmetrics/../editor/Editor.java,editor.Editor,"Editor/2[editor.EditorContext,ui.MenuBar]",menuBar,2
./Memento/ProjectTeam44/ckmetrics/../editor/Editor.java,editor.Editor,"Editor/2[editor.EditorContext,ui.MenuBar]",editorContext,2
./Memento/ProjectTeam44/ckmetrics/../editor/EditorContext.java,editor.EditorContext,addTransformation/1[transformation.ImageTransformation],transformation,2
./Memento/ProjectTeam44/ckmetrics/../editor/EditorContext.java,editor.EditorContext,EditorContext/1[java.awt.Image],im,1
./Memento/ProjectTeam44/ckmetrics/../editor/EditorContext.java,editor.EditorContext,restore/1[editor.EditorSnapshot],snapshot,1
./Memento/ProjectTeam44/ckmetrics/../editor/EditorSnapshot.java,editor.EditorSnapshot,EditorSnapshot/1[java.util.ArrayList<transformation.ImageTransformation>],transformations,2
./Memento/ProjectTeam44/ckmetrics/../transformation/zoom/ZoomTransformationFactory.java,transformation.zoom.ZoomTransformationFactory,createTransform/1[transformation.TransformationParams],params,1
./Memento/ProjectTeam44/ckmetrics/../transformation/zoom/ZoomTransformation.java,transformation.zoom.ZoomTransformation,applyTransform/1[java.awt.Image],image,0
./Memento/ProjectTeam44/ckmetrics/../transformation/zoom/ZoomTransformation.java,transformation.zoom.ZoomTransformation,ZoomTransformation/1[float],scale,2
./Memento/ProjectTeam44/ckmetrics/../transformation/rotation/RotationTransformationFactory.java,transformation.rotation.RotationTransformationFactory,createTransform/1[transformation.TransformationParams],params,1
./Memento/ProjectTeam44/ckmetrics/../transformation/rotation/RotateTransformation.java,transformation.rotation.RotateTransformation,applyTransform/1[java.awt.Image],image,0
./Memento/ProjectTeam44/ckmetrics/../transformation/rotation/RotateTransformation.java,transformation.rotation.RotateTransformation,RotateTransformation/1[float],factor,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,CompositeTransformation/1[java.util.List<transformation.ImageTransformation>],children,2
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,applyTransform/1[java.awt.Image],image,2
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,applyTransform/1[java.awt.Image],current,2
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,applyTransform/1[java.awt.Image],transformation,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,addTransformation/1[transformation.ImageTransformation],transformation,1
./Memento/ProjectTeam44/ckmetrics/../transformation/CompositeTransformation.java,transformation.CompositeTransformation,removeTransformation/1[int],index,1
./Memento/ProjectTeam44/ckmetrics/../transformation/ImageTransformation.java,transformation.ImageTransformation,applyTransform/1[java.awt.Image],image,0
./Memento/ProjectTeam44/ckmetrics/../transformation/color/ColorTransformationFactory.java,transformation.color.ColorTransformationFactory,createTransform/1[transformation.TransformationParams],params,1
./Memento/ProjectTeam44/ckmetrics/../transformation/color/ColorTransformation.java,transformation.color.ColorTransformation,applyTransform/1[java.awt.Image],image,0
./Memento/ProjectTeam44/ckmetrics/../transformation/color/ColorTransformation.java,transformation.color.ColorTransformation,ColorTransformation/1[java.awt.Color],color,2
./Memento/ProjectTeam44/ckmetrics/../transformation/TransformationParams.java,transformation.TransformationParams,TransformationParams/1[java.awt.Color],color,2
./Memento/ProjectTeam44/ckmetrics/../transformation/TransformationParams.java,transformation.TransformationParams,TransformationParams/1[int],factor,2
./Memento/ProjectTeam44/ckmetrics/../transformation/TransformationFactory.java,transformation.TransformationFactory,createTransform/1[transformation.TransformationParams],params,0
./Memento/ProjectTeam44/ckmetrics/../transformation/crop/CropTransformationFactory.java,transformation.crop.CropTransformationFactory,createTransform/1[transformation.TransformationParams],params,1
./Memento/ProjectTeam44/ckmetrics/../transformation/crop/CropTransformation.java,transformation.crop.CropTransformation,applyTransform/1[java.awt.Image],image,0
./Memento/ProjectTeam44/ckmetrics/../transformation/crop/CropTransformation.java,transformation.crop.CropTransformation,CropTransformation/1[java.awt.Rectangle],rect,1
