file,class,method,variable,usage
./Observer/ProjectTeam73/ckmetrics/../server/BookManager.java,server.BookManager,"unsubscribe/2[server.Book,client.Subscriber]",subscriber,2
./Observer/ProjectTeam73/ckmetrics/../server/BookManager.java,server.BookManager,"unsubscribe/2[server.Book,client.Subscriber]",book,3
./Observer/ProjectTeam73/ckmetrics/../server/BookManager.java,server.BookManager,notify/1[server.Book],subscribersOfBook,1
./Observer/ProjectTeam73/ckmetrics/../server/BookManager.java,server.BookManager,notify/1[server.Book],subscriber,1
./Observer/ProjectTeam73/ckmetrics/../server/BookManager.java,server.BookManager,notify/1[server.Book],book,2
./Observer/ProjectTeam73/ckmetrics/../server/BookManager.java,server.BookManager,"subscribe/2[server.Book,client.Subscriber]",subscriber,1
./Observer/ProjectTeam73/ckmetrics/../server/BookManager.java,server.BookManager,"subscribe/2[server.Book,client.Subscriber]",book,3
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,"Book/4[java.lang.String,java.math.BigDecimal,java.lang.String,java.lang.String[]]",cost,2
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,"Book/4[java.lang.String,java.math.BigDecimal,java.lang.String,java.lang.String[]]",author,2
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,"Book/4[java.lang.String,java.math.BigDecimal,java.lang.String,java.lang.String[]]",categories,2
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,"Book/4[java.lang.String,java.math.BigDecimal,java.lang.String,java.lang.String[]]",title,2
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,setCost/1[java.math.BigDecimal],cost,2
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,setAuthor/1[java.lang.String],author,2
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,setTitle/1[java.lang.String],title,2
./Observer/ProjectTeam73/ckmetrics/../server/Book.java,server.Book,setCategories/1[java.lang.String[]],categories,2
./Observer/ProjectTeam73/ckmetrics/../server/BookStore.java,server.BookStore,addBookToStock/1[server.Book],book,2
./Observer/ProjectTeam73/ckmetrics/../server/BookStore.java,server.BookStore,addBookToCatalog/1[server.Book],book,1
./Observer/ProjectTeam73/ckmetrics/../client/EmailNotifier.java,client.EmailNotifier,EmailNotifier/1[client.User],user,2
./Observer/ProjectTeam73/ckmetrics/../client/EmailNotifier.java,client.EmailNotifier,update/1[server.Book],book,1
./Observer/ProjectTeam73/ckmetrics/../client/User.java,client.User,"User/2[java.lang.String,java.lang.String]",email,2
./Observer/ProjectTeam73/ckmetrics/../client/User.java,client.User,"User/2[java.lang.String,java.lang.String]",username,2
./Observer/ProjectTeam73/ckmetrics/../client/WebAppNotifier.java,client.WebAppNotifier,WebAppNotifier/1[client.User],user,2
./Observer/ProjectTeam73/ckmetrics/../client/WebAppNotifier.java,client.WebAppNotifier,update/1[server.Book],book,1
