file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
./Observer/TeamProject8/ckmetrics/../Main.java,Main,class,5,1,1,5,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4,5,8,8,0,6,0,0,0,0,36,1,0
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,class,4,11,3,5,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,24,4,0,6,0,0,4,1,4,0,3,1,0,0,0,28,1,0
./Observer/TeamProject8/ckmetrics/../model/Employee.java,model.Employee,class,4,10,3,6,0,0.5555556,0.7777778,9,0,9,0,0,0,9,0,0,0,4,0,3,1,0,0,0,0,0,43,4,0,1,0,0,0,1,11,0,5,1,0,0,0,22,1,0
./Observer/TeamProject8/ckmetrics/../model/Subscription.java,model.Subscription,class,4,5,1,0,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,0,0,2,0,2,0,0,0,0,22,1,0
./Observer/TeamProject8/ckmetrics/../model/Team.java,model.Team,class,3,14,2,9,17,0.4065934,0.6043956,14,0,14,0,0,0,14,0,0,0,2,0,1,1,0,0,0,0,1,55,6,0,0,0,0,2,0,4,0,4,1,0,0,2,42,1,0
./Observer/TeamProject8/ckmetrics/../model/Admin.java,model.Admin,class,6,7,3,4,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,1,1,0,1,0,0,0,0,24,1,0
./Observer/TeamProject8/ckmetrics/../model/User.java,model.User,class,3,18,2,6,83,0.22875817,0.59477127,18,0,18,0,0,0,18,0,0,0,4,0,0,4,0,0,0,0,1,68,9,0,0,0,0,6,0,10,0,4,0,0,0,0,48,1,0
./Observer/TeamProject8/ckmetrics/../model/TeamComponent.java,model.TeamComponent,class,1,9,1,0,30,0.083333336,0.083333336,9,0,9,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,26,3,0,0,0,0,0,0,2,0,1,0,0,0,0,18,1025,0
./Observer/TeamProject8/ckmetrics/../model/Session.java,model.Session,class,3,14,1,0,61,0.16483517,0.2967033,14,0,14,0,0,0,14,0,0,0,4,0,0,4,0,0,0,0,0,48,7,0,0,0,0,5,0,7,0,4,0,0,0,0,22,1,0
./Observer/TeamProject8/ckmetrics/../model/Permission.java,model.Permission,class,3,13,1,1,42,0.23076923,0.30769232,13,0,13,0,0,0,13,0,0,0,4,0,0,4,0,0,0,0,0,48,7,0,0,0,0,4,0,9,0,4,0,0,0,0,23,1,0
./Observer/TeamProject8/ckmetrics/../model/GPSLocation.java,model.GPSLocation,class,2,14,1,0,42,0.18181819,0.42424244,12,0,12,0,0,0,12,0,0,0,3,0,0,3,0,0,0,0,0,44,9,0,0,0,0,5,2,6,0,3,1,0,0,0,27,1,0
./Observer/TeamProject8/ckmetrics/../model/ORM_Model.java,model.ORM_Model,interface,1,4,1,0,6,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
./Observer/TeamProject8/ckmetrics/../events/LocationChangePublisher.java,events.LocationChangePublisher,class,4,6,1,5,0,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,21,2,0,0,0,3,0,0,4,0,5,1,0,0,1,18,1,0
./Observer/TeamProject8/ckmetrics/../events/Subscriber.java,events.Subscriber,interface,1,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
./Observer/TeamProject8/ckmetrics/../registration/HRRegistrator.java,registration.HRRegistrator,class,4,1,2,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,4,1,4,0,4,0,0,0,0,27,1,0
./Observer/TeamProject8/ckmetrics/../registration/AdminRegistrator.java,registration.AdminRegistrator,class,4,1,2,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,3,0,3,0,3,0,0,0,0,24,1,0
./Observer/TeamProject8/ckmetrics/../registration/EmployeeRegistrator.java,registration.EmployeeRegistrator,class,4,1,2,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,3,1,3,0,3,0,0,0,0,25,1,0
./Observer/TeamProject8/ckmetrics/../registration/UserRegistrator.java,registration.UserRegistrator,class,1,2,1,0,1,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1025,0
