file,class,method,variable,usage
./Observer/TeamProject8/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],args,0
./Observer/TeamProject8/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],some_hr_with_id_10,1
./Observer/TeamProject8/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],id_from_request,5
./Observer/TeamProject8/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],some_hr_with_id_20,1
./Observer/TeamProject8/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],some_hr_with_id_30,1
./Observer/TeamProject8/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],location,1
./Observer/TeamProject8/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],employee,7
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"onUpdate/2[model.Employee,model.Employee]",old_city,3
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"onUpdate/2[model.Employee,model.Employee]",old_state,4
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"onUpdate/2[model.Employee,model.Employee]",new_state,2
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"onUpdate/2[model.Employee,model.Employee]",new_city,3
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"onUpdate/2[model.Employee,model.Employee]",push,3
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"viewLocation/2[long,java.util.Date]",date,0
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"viewLocation/2[long,java.util.Date]",id,0
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"HR/4[long,java.lang.String,java.lang.String,java.lang.String]",password,1
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"HR/4[long,java.lang.String,java.lang.String,java.lang.String]",id,0
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"HR/4[long,java.lang.String,java.lang.String,java.lang.String]",email,1
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"HR/4[long,java.lang.String,java.lang.String,java.lang.String]",username,1
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"checkSalary/2[long,java.util.Date]",date,0
./Observer/TeamProject8/ckmetrics/../model/HR.java,model.HR,"checkSalary/2[long,java.util.Date]",id,0
./Observer/TeamProject8/ckmetrics/../model/Employee.java,model.Employee,setImage/1[java.awt.image.BufferedImage],image,2
./Observer/TeamProject8/ckmetrics/../model/Employee.java,model.Employee,setLocation/1[model.GPSLocation],new_location,2
./Observer/TeamProject8/ckmetrics/../model/Employee.java,model.Employee,setLocation/1[model.GPSLocation],old,1
