file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/utilities/Logger.java,utilities.Logger,logErrorIfDebug/1[java.lang.String],DEBUG,2
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,setName/1[java.lang.String],name,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,setCountry/1[java.lang.String],country,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,getDescription/0,description,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,setDescription/1[java.lang.String],description,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,getCategory/0,category,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,getPrice/0,price,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,getName/0,name,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,setCategory/1[restaurant.FoodItemCategory],category,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,getId/0,id,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,setPrice/1[float],price,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,"FoodItem/6[int,java.lang.String,java.lang.String,java.lang.String,float,restaurant.FoodItemCategory]",country,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,"FoodItem/6[int,java.lang.String,java.lang.String,java.lang.String,float,restaurant.FoodItemCategory]",price,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,"FoodItem/6[int,java.lang.String,java.lang.String,java.lang.String,float,restaurant.FoodItemCategory]",name,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,"FoodItem/6[int,java.lang.String,java.lang.String,java.lang.String,float,restaurant.FoodItemCategory]",description,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,"FoodItem/6[int,java.lang.String,java.lang.String,java.lang.String,float,restaurant.FoodItemCategory]",id,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,"FoodItem/6[int,java.lang.String,java.lang.String,java.lang.String,float,restaurant.FoodItemCategory]",category,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,getCountry/0,country,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItem.java,restaurant.FoodItem,setId/1[int],id,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/RestaurantCategory.java,restaurant.RestaurantCategory,toString/0,displayName,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/RestaurantCategory.java,restaurant.RestaurantCategory,RestaurantCategory/1[java.lang.String],displayName,3
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItemCategory.java,restaurant.FoodItemCategory,toString/0,displayName,1
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/restaurant/FoodItemCategory.java,restaurant.FoodItemCategory,FoodItemCategory/1[java.lang.String],displayName,3
