file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/HTMLWriter.java,writers.HTMLWriter,getHtmlForItems/1[restaurant.FoodItem[]],false,46,6,2,4,13,1,2,1,4,0,0,1,0,0,0,1,0,2,0,1,0,0,0,16,2,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/HTMLWriter.java,writers.HTMLWriter,"createDocument/2[java.util.Map<restaurant.FoodItemCategory,restaurant.FoodItem[]>,java.lang.String]",false,25,10,3,9,13,0,2,2,9,1,1,1,0,0,0,3,0,2,0,2,0,0,0,29,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/TextWriter.java,writers.TextWriter,"createDocument/2[java.util.Map<restaurant.FoodItemCategory,restaurant.FoodItem[]>,java.lang.String]",false,13,4,3,8,10,0,1,2,8,1,1,1,0,0,0,2,0,1,1,2,0,0,0,24,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/TextWriter.java,writers.TextWriter,getTextForItems/1[restaurant.FoodItem[]],false,27,1,2,5,8,1,1,1,5,0,0,1,0,0,0,4,0,1,2,1,0,0,0,11,2,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/IWriter.java,writers.IWriter,"createDocument/2[java.util.Map<restaurant.FoodItemCategory,restaurant.FoodItem[]>,java.lang.String]",false,20,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/IWriter.java,writers.IWriter,"saveAsFile/2[java.lang.String,java.lang.String]",false,24,0,1,3,6,0,2,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,20,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/XMLWriter.java,writers.XMLWriter,"appendXmlForItems/3[restaurant.FoodItem[],org.w3c.dom.Element,org.w3c.dom.Document]",false,67,5,2,6,24,0,10,3,6,0,0,1,0,0,0,8,0,10,0,1,0,0,0,19,2,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/writers/XMLWriter.java,writers.XMLWriter,"createDocument/2[java.util.Map<restaurant.FoodItemCategory,restaurant.FoodItem[]>,java.lang.String]",false,27,6,5,16,29,0,9,2,16,1,1,1,0,1,0,3,0,9,0,3,0,0,0,40,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/utilities/Logger.java,utilities.Logger,logErrorIfDebug/1[java.lang.String],false,6,0,2,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,9,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Nithanaroy_AbstractFactoryPattern/ckmetrics/../src/main/java/client/Client.java,client.Client,main/1[java.lang.String[]],false,34,4,3,13,32,0,16,1,13,1,1,1,0,0,0,16,3,18,2,1,0,0,0,45,9,0,false
