file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/FactoryProducer.java,com.company.FactoryProducer,getFactory/1[java.lang.String],false,4,3,3,1,9,3,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,9,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/Genre.java,com.company.Comedy,description/0,false,11,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/Genre.java,com.company.Action,description/0,false,21,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/Genre.java,com.company.Genre,description/0,false,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],false,4,4,1,5,12,0,6,1,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,11,9,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/Type.java,com.company.Type,show/0,false,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/Type.java,com.company.Bollywood,show/0,false,19,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/Type.java,com.company.Hollywood,show/0,false,10,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/AbstractFactory.java,com.company.GenreFactory,getType/1[java.lang.String],false,47,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/AbstractFactory.java,com.company.GenreFactory,getGenre/1[java.lang.String],false,34,3,4,1,12,4,0,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/AbstractFactory.java,com.company.TypeFactory,getGenre/1[java.lang.String],false,24,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/AbstractFactory.java,com.company.TypeFactory,getType/1[java.lang.String],false,11,3,4,1,12,4,0,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/Omar-Hosni_AbstractFactory/ckmetrics/../Abstract Factory/AbstractFactoryMethodChallenge/src/com/company/AbstractFactory.java,com.company.AbstractFactory,getGenre/1[java.lang.String],false,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1024,0,false
