file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Sofa.java,com.company.domain.furniture.Sofa,setHasLegs/1[boolean],hasLegs,3
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Sofa.java,com.company.domain.furniture.Sofa,setSitOn/1[boolean],sitOn,3
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Sofa.java,com.company.domain.furniture.Sofa,hasLegs/0,hasLegs,2
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Sofa.java,com.company.domain.furniture.Sofa,sitOn/0,sitOn,2
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Table.java,com.company.domain.furniture.Table,setHasLegs/1[boolean],hasLegs,3
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Table.java,com.company.domain.furniture.Table,setSitOn/1[boolean],sitOn,3
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Table.java,com.company.domain.furniture.Table,hasLegs/0,hasLegs,2
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Table.java,com.company.domain.furniture.Table,sitOn/0,sitOn,2
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Chair.java,com.company.domain.furniture.Chair,setHasLegs/1[boolean],hasLegs,3
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Chair.java,com.company.domain.furniture.Chair,hasLegs/0,hasLegs,2
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Chair.java,com.company.domain.furniture.Chair,setSitOn/1[boolean],sitOn,3
/root/DesignPatternsDetection/Data/Abstract_factory/SanzharDev_factoryPatternDemo/ckmetrics/../src/com/company/domain/furniture/Chair.java,com.company.domain.furniture.Chair,sitOn/0,sitOn,2
