file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/TrainingCamp.java,TrainingCamp,interface,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Weapon.java,Weapon,class,0,5,1,3,0,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0,19,2,0,0,0,0,2,0,2,1,2,0,0,0,0,10,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Armor.java,Armor,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/ArcherEquipFactory.java,ArcherEquipFactory,class,5,2,1,3,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,3,2,0,2,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/WarriorTrainingCamp.java,WarriorTrainingCamp,class,5,1,1,5,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,0,0,0,1,0,2,0,2,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Adventurer.java,Adventurer,class,2,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,1,0,0,2,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/EquipFactoryTest.java,EquipFactoryTest,class,9,1,1,9,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,27,0,0,0,0,0,8,0,10,6,8,0,0,0,0,21,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/EquipFactory.java,EquipFactory,interface,2,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Bow.java,Bow,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Warrior.java,Warrior,class,3,1,2,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Leather.java,Leather,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/LongSword.java,LongSword,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/WarriorEquipFactory.java,WarriorEquipFactory,class,5,2,1,3,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,3,2,0,2,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Archer.java,Archer,class,3,1,2,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/ArcherTrainingCamp.java,ArcherTrainingCamp,class,5,1,1,5,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,0,0,0,1,0,2,0,2,0,0,0,0,9,1,0
