file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/TrainingCamp.java,TrainingCamp,trainAdventurer/0,false,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Weapon.java,Weapon,setRange/1[int],false,19,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Weapon.java,Weapon,getAtk/0,false,23,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Weapon.java,Weapon,display/0,false,11,0,1,3,3,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,true
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Weapon.java,Weapon,setAtk/1[int],false,15,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Weapon.java,Weapon,getRange/0,false,27,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/ArcherEquipFactory.java,ArcherEquipFactory,productWeapon/0,false,6,2,1,2,6,1,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/ArcherEquipFactory.java,ArcherEquipFactory,productArmor/0,false,13,2,1,1,5,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/WarriorTrainingCamp.java,WarriorTrainingCamp,trainAdventurer/0,false,8,3,1,5,7,1,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Adventurer.java,Adventurer,setClothes/1[Clothes],false,17,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Adventurer.java,Adventurer,setWeapon/1[Weapon],false,13,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Adventurer.java,Adventurer,display/0,false,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,true
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/EquipFactoryTest.java,EquipFactoryTest,main/1[java.lang.String[]],false,11,9,1,9,24,0,7,1,9,0,0,0,0,0,0,8,0,10,6,0,0,0,0,20,9,0,true
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/EquipFactory.java,EquipFactory,productWeapon/0,false,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/EquipFactory.java,EquipFactory,productArmor/0,false,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/Warrior.java,Warrior,display/0,false,6,2,1,4,7,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/a7512cs_AbstractFactoryPattern/ckmetrics/../src/WarriorEquipFactory.java,WarriorEquipFactory,productWeapon/0,false,6,2,1,2,6,1,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,1,0,false
