file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PCFactory.java,com.ahmet.PCFactory,createComputer/0,thesis,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PCFactory.java,com.ahmet.PCFactory,createComputer/0,dissertation,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PCFactory.java,com.ahmet.PCFactory,createComputer/0,project,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PCFactory.java,com.ahmet.PCFactory,"PCFactory/3[java.lang.String,java.lang.String,java.lang.String]",thesis,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PCFactory.java,com.ahmet.PCFactory,"PCFactory/3[java.lang.String,java.lang.String,java.lang.String]",dissertation,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PCFactory.java,com.ahmet.PCFactory,"PCFactory/3[java.lang.String,java.lang.String,java.lang.String]",project,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PC.java,com.ahmet.PC,getProject/0,project,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PC.java,com.ahmet.PC,"PC/3[java.lang.String,java.lang.String,java.lang.String]",thesis,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PC.java,com.ahmet.PC,"PC/3[java.lang.String,java.lang.String,java.lang.String]",dissertation,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PC.java,com.ahmet.PC,"PC/3[java.lang.String,java.lang.String,java.lang.String]",project,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PC.java,com.ahmet.PC,getThesis/0,thesis,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/PC.java,com.ahmet.PC,getDissertation/0,dissertation,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/Server.java,com.ahmet.Server,getProject/0,project,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/Server.java,com.ahmet.Server,"Server/3[java.lang.String,java.lang.String,java.lang.String]",thesis,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/Server.java,com.ahmet.Server,"Server/3[java.lang.String,java.lang.String,java.lang.String]",dissertation,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/Server.java,com.ahmet.Server,"Server/3[java.lang.String,java.lang.String,java.lang.String]",project,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/Server.java,com.ahmet.Server,getThesis/0,thesis,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/Server.java,com.ahmet.Server,getDissertation/0,dissertation,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/ServerFactory.java,com.ahmet.ServerFactory,createComputer/0,thesis,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/ServerFactory.java,com.ahmet.ServerFactory,createComputer/0,dissertation,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/ServerFactory.java,com.ahmet.ServerFactory,createComputer/0,project,1
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/ServerFactory.java,com.ahmet.ServerFactory,"ServerFactory/3[java.lang.String,java.lang.String,java.lang.String]",thesis,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/ServerFactory.java,com.ahmet.ServerFactory,"ServerFactory/3[java.lang.String,java.lang.String,java.lang.String]",dissertation,3
/root/DesignPatternsDetection/Data/Abstract_factory/ahmtozdemir_abstract-factory-design-pattern/ckmetrics/../src/com/ahmet/ServerFactory.java,com.ahmet.ServerFactory,"ServerFactory/3[java.lang.String,java.lang.String,java.lang.String]",project,3
