file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/MacCheckbox.java,MacCheckbox,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/IGUIFactory.java,IGUIFactory,interface,2,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/WinCheckbox.java,WinCheckbox,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/WinButton.java,WinButton,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/Application.java,Application,class,3,2,1,4,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,2,0,0,0,0,11,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/MacButton.java,MacButton,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/ICheckbox.java,ICheckbox,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/Main.java,Main,class,5,3,1,5,1,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0,0,2,0,5,0,4,1,0,0,0,15,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/IButton.java,IButton,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/WinFactory.java,WinFactory,class,5,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/atsarenko_AbstractFactory/ckmetrics/../src/MacFactory.java,MacFactory,class,5,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
