file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/Themes.java,Themes,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/StarWarsThemeFactory.java,StarWarsThemeFactory,class,4,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/IThemeFactory.java,IThemeFactory,interface,1,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/changeOpacityDecorator.java,changeOpacityDecorator,class,2,2,1,2,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,1,2,0,2,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/TextUpperCaseDecorator.java,TextUpperCaseDecorator,class,2,2,1,4,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/Main.java,Main,class,10,2,2,11,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,33,0,0,0,0,0,1,4,5,0,5,0,1,0,0,20,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/Main.java,Main$Anonymous1,anonymous,3,2,1,6,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,2,0,0,1,0,0,0,10,-1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/IButton.java,IButton,interface,1,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/changeSizeDecorator.java,changeSizeDecorator,class,2,2,1,2,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,2,2,0,2,0,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/MarioThemeFactory.java,MarioThemeFactory,class,5,1,2,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/MarioButton.java,MarioButton,class,2,1,2,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,2,1,0,1,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/clusson_AbstractFactory/ckmetrics/../src/main/java/StarWarsButton.java,StarWarsButton,class,2,1,2,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,2,1,0,1,0,0,0,0,7,1,0
