file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/model/PC.java,model.PC,"PC/3[java.lang.String,java.lang.String,java.lang.String]",hdd,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/model/PC.java,model.PC,"PC/3[java.lang.String,java.lang.String,java.lang.String]",cpu,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/model/PC.java,model.PC,"PC/3[java.lang.String,java.lang.String,java.lang.String]",ram,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/model/Server.java,model.Server,"Server/3[java.lang.String,java.lang.String,java.lang.String]",hdd,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/model/Server.java,model.Server,"Server/3[java.lang.String,java.lang.String,java.lang.String]",cpu,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/model/Server.java,model.Server,"Server/3[java.lang.String,java.lang.String,java.lang.String]",ram,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/PCFactory.java,abstractfactory.PCFactory,"PCFactory/3[java.lang.String,java.lang.String,java.lang.String]",hdd,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/PCFactory.java,abstractfactory.PCFactory,"PCFactory/3[java.lang.String,java.lang.String,java.lang.String]",cpu,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/PCFactory.java,abstractfactory.PCFactory,"PCFactory/3[java.lang.String,java.lang.String,java.lang.String]",ram,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/TestDesignPatterns.java,abstractfactory.TestDesignPatterns,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/TestDesignPatterns.java,abstractfactory.TestDesignPatterns,testAbstractFactory/0,server,1
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/TestDesignPatterns.java,abstractfactory.TestDesignPatterns,testAbstractFactory/0,pc,1
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/ComputerFactory.java,abstractfactory.ComputerFactory,getComputer/1[abstractfactory.ComputerAbstractFactory],factory,1
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/ServerFactory.java,abstractfactory.ServerFactory,"ServerFactory/3[java.lang.String,java.lang.String,java.lang.String]",hdd,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/ServerFactory.java,abstractfactory.ServerFactory,"ServerFactory/3[java.lang.String,java.lang.String,java.lang.String]",cpu,2
/root/DesignPatternsDetection/Data/Abstract_factory/dafguerreroalpracticas_AbstractFactory-Design-Pattern/ckmetrics/../AbstractFactory/src/abstractfactory/ServerFactory.java,abstractfactory.ServerFactory,"ServerFactory/3[java.lang.String,java.lang.String,java.lang.String]",ram,2
