file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungCamera.java,mobilefactory.production.samsung.SamsungCamera,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungNote10.java,mobilefactory.production.samsung.SamsungNote10,class,2,1,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungAntenna.java,mobilefactory.production.samsung.SamsungAntenna,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungNote9.java,mobilefactory.production.samsung.SamsungNote9,class,2,1,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungNote8.java,mobilefactory.production.samsung.SamsungNote8,class,3,2,2,4,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,2,0,6,0,1,0,0,0,0,16,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungBattery.java,mobilefactory.production.samsung.SamsungBattery,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/ios/IOSCamera.java,mobilefactory.production.ios.IOSCamera,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/ios/IOSIPhone11.java,mobilefactory.production.ios.IOSIPhone11,class,3,2,2,4,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,2,0,6,0,1,0,0,0,0,18,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/ios/IOSBattery.java,mobilefactory.production.ios.IOSBattery,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/ios/IOSAntenna.java,mobilefactory.production.ios.IOSAntenna,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
