file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungNote10.java,mobilefactory.production.samsung.SamsungNote10,SamsungNote10/1[mobilefactory.SamsungMobileFactory],samsungMobileFactory,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungNote9.java,mobilefactory.production.samsung.SamsungNote9,SamsungNote9/1[mobilefactory.SamsungMobileFactory],samsungMobileFactory,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/samsung/SamsungNote8.java,mobilefactory.production.samsung.SamsungNote8,SamsungNote8/1[mobilefactory.MobilePhoneFactory],mobilePhoneFactory,2
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/ios/IOSIPhone11.java,mobilefactory.production.ios.IOSIPhone11,IOSIPhone11/1[mobilefactory.MobilePhoneFactory],mobilePhoneFactory,2
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/production/ios/IOSIPhone11Pro.java,mobilefactory.production.ios.IOSIPhone11Pro,IOSIPhone11Pro/1[mobilefactory.IOSMobileFactory],iosMobileFactory,0
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/mobileComponent/SamsungModelDetailInformation.java,mobilefactory.mobileComponent.SamsungModelDetailInformation,"SamsungModelDetailInformation/3[java.lang.String,java.lang.String,mobilefactory.ModelInformation.SamsungModel]",releaseDate,2
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/mobileComponent/SamsungModelDetailInformation.java,mobilefactory.mobileComponent.SamsungModelDetailInformation,"SamsungModelDetailInformation/3[java.lang.String,java.lang.String,mobilefactory.ModelInformation.SamsungModel]",producer,2
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/mobileComponent/SamsungModelDetailInformation.java,mobilefactory.mobileComponent.SamsungModelDetailInformation,"SamsungModelDetailInformation/3[java.lang.String,java.lang.String,mobilefactory.ModelInformation.SamsungModel]",samsungModel,2
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/mobileComponent/IOSModelDetailInformation.java,mobilefactory.mobileComponent.IOSModelDetailInformation,"IOSModelDetailInformation/3[java.lang.String,java.lang.String,mobilefactory.ModelInformation.IOSModel]",iosModel,2
/root/DesignPatternsDetection/Data/Abstract_factory/junghun133_AbstractFactoryPattern/ckmetrics/../src/mobilefactory/mobileComponent/IOSModelDetailInformation.java,mobilefactory.mobileComponent.IOSModelDetailInformation,"IOSModelDetailInformation/3[java.lang.String,java.lang.String,mobilefactory.ModelInformation.IOSModel]",releaseDate,2
