file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],br,3
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],color,1
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],animal,2
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],abstractFactory,3
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],type,3
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],option,5
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/business/Client.java,com.kem.abstractfactorydesignpatternexample.business.Client,main/1[java.lang.String[]],factoryProvider,1
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/provider/FactoryProvider.java,com.kem.abstractfactorydesignpatternexample.provider.FactoryProvider,getFactory/1[java.lang.String],choice,2
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/factory/AnimalFactory.java,com.kem.abstractfactorydesignpatternexample.factory.AnimalFactory,create/1[java.lang.String],animalType,3
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/factory/AbstractFactory.java,com.kem.abstractfactorydesignpatternexample.factory.AbstractFactory,create/1[java.lang.String],animalType,0
/root/DesignPatternsDetection/Data/Abstract_factory/leave20_AbstractFactoryDesignPatternExample/ckmetrics/../src/com/kem/abstractfactorydesignpatternexample/factory/ColorFactory.java,com.kem.abstractfactorydesignpatternexample.factory.ColorFactory,create/1[java.lang.String],colorType,3
