file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/SetProperties.java,AbstractProductB.SetProperties,class,0,4,1,3,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,2,0,9,0,3,0,2,3,0,0,0,31,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,class,3,27,2,25,22,0.35897437,0.35897437,13,0,13,0,0,0,13,0,0,0,1,0,0,0,0,1,0,0,9,141,14,0,4,9,0,23,2,30,8,18,2,0,0,0,78,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,class,1,11,1,0,55,0.0,0.0,11,0,11,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka2.java,AbstractProductB.BrokerBazePodataka2,class,3,31,2,29,33,0.31868133,0.3956044,14,0,13,0,0,1,14,0,0,0,5,0,0,0,0,5,0,0,9,167,14,0,5,11,0,28,2,40,8,23,3,0,0,0,79,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractFactory/Projektant2.java,AbstractFactory.Projektant2,class,9,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,4,0,4,0,0,0,0,22,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractFactory/Projektant.java,AbstractFactory.Projektant,interface,3,3,1,0,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractFactory/Projektant3.java,AbstractFactory.Projektant3,class,9,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,4,0,4,0,0,0,0,22,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractFactory/Projektant4.java,AbstractFactory.Projektant4,class,9,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,4,0,4,0,0,0,0,20,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractFactory/Projektant1.java,AbstractFactory.Projektant1,class,9,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,4,0,4,0,0,0,0,22,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/DomainClasses/GeneralDObject.java,DomainClasses.GeneralDObject,interface,1,6,1,0,15,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/DomainClasses/DKPles.java,DomainClasses.DKPles,class,2,22,1,3,39,0.37254903,0.6862745,18,0,18,0,0,0,18,0,0,0,5,0,0,0,0,5,0,0,0,70,11,0,4,0,4,35,3,16,7,6,0,0,0,0,38,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/EkranskaForma2.java,AbstractProductA.EkranskaForma2,class,3,10,7,28,6,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,53,0,1,0,1,0,4,12,1,0,1,3,1,0,0,66,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/EkranskaForma2.java,AbstractProductA.EkranskaForma2$Anonymous1,anonymous,4,1,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,-1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/EkranskaForma1.java,AbstractProductA.EkranskaForma1$Anonymous1,anonymous,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/EkranskaForma1.java,AbstractProductA.EkranskaForma1,class,2,10,7,30,6,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,51,0,1,0,1,0,4,12,1,0,1,3,1,0,0,69,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/Panel1.java,AbstractProductA.Panel1,class,2,18,6,23,107,0.05147059,0.05147059,18,0,17,1,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,104,10,0,0,0,0,12,48,18,0,18,0,0,0,0,62,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/Panel2.java,AbstractProductA.Panel2$Anonymous1,anonymous,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/Panel2.java,AbstractProductA.Panel2,class,2,19,6,40,171,0.05147059,0.05147059,19,0,17,2,0,0,17,0,0,0,23,0,0,23,0,0,0,0,1,204,10,0,0,0,0,32,185,25,0,25,0,1,0,0,78,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductA/Panel.java,AbstractProductA.Panel,class,0,16,5,0,120,0.0,0.0,16,0,16,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1025,0
