file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/SetProperties.java,AbstractProductB.SetProperties,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/SetProperties.java,AbstractProductB.SetProperties,main/1[java.lang.String[]],output,4
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/SetProperties.java,AbstractProductB.SetProperties,main/1[java.lang.String[]],e,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/SetProperties.java,AbstractProductB.SetProperties,main/1[java.lang.String[]],io,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/SetProperties.java,AbstractProductB.SetProperties,main/1[java.lang.String[]],prop,5
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,deleteRecord/1[DomainClasses.GeneralDObject],upit,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,deleteRecord/1[DomainClasses.GeneralDObject],odo,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,executeUpdate/1[java.lang.String],upit,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,executeUpdate/1[java.lang.String],st,3
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,executeUpdate/1[java.lang.String],ex,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,executeUpdate/1[java.lang.String],rowcount,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,executeUpdate/1[java.lang.String],signal,3
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"close/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",st,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"close/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",rs,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"close/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",conn,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"close/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",ex,5
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,rollbackTransation/0,esql,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",rs,4
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",st,3
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",ex,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",odo,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",counter,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",signal,3
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",sql,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,updateRecord/1[DomainClasses.GeneralDObject],upit,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,updateRecord/1[DomainClasses.GeneralDObject],odo,3
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,insertRecord/1[DomainClasses.GeneralDObject],upit,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,insertRecord/1[DomainClasses.GeneralDObject],odo,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,makeConnection/0,ex,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,makeConnection/0,Url,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"updateRecord/2[DomainClasses.GeneralDObject,DomainClasses.GeneralDObject]",upit,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"updateRecord/2[DomainClasses.GeneralDObject,DomainClasses.GeneralDObject]",odoold,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"updateRecord/2[DomainClasses.GeneralDObject,DomainClasses.GeneralDObject]",odo,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,findRecord/1[DomainClasses.GeneralDObject],upit,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,findRecord/1[DomainClasses.GeneralDObject],rs,4
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,findRecord/1[DomainClasses.GeneralDObject],st,3
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,findRecord/1[DomainClasses.GeneralDObject],ex,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,findRecord/1[DomainClasses.GeneralDObject],odo,6
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,findRecord/1[DomainClasses.GeneralDObject],signal,2
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"increaseCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",upit,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"increaseCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",odo,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"increaseCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",counter,1
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,commitTransation/0,esql,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,"updateRecord/2[DomainClasses.GeneralDObject,DomainClasses.GeneralDObject]",odoold,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,"updateRecord/2[DomainClasses.GeneralDObject,DomainClasses.GeneralDObject]",odo,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,findRecord/1[DomainClasses.GeneralDObject],odo,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,"increaseCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",odo,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,"increaseCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",counter,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,deleteRecord/1[DomainClasses.GeneralDObject],odo,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,insertRecord/1[DomainClasses.GeneralDObject],odo,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,updateRecord/1[DomainClasses.GeneralDObject],odo,0
/root/DesignPatternsDetection/Data/Abstract_factory/milicaklaric_AbstractFactory/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",odo,0
