file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/SensorController.java,SensorController,class,3,2,1,4,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,4,0,2,0,0,0,0,11,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/WirelessDoorSensor.java,WirelessDoorSensor,class,1,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/WirelessHeaterSensor.java,WirelessHeaterSensor,class,1,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/Application.java,Application,class,4,3,1,4,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,1,1,0,1,4,6,0,3,1,0,0,0,20,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/WirelessSensorFactory.java,WirelessSensorFactory,class,5,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/WiredDoorSensor.java,WiredDoorSensor,class,1,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/WiredHeaterSensor.java,WiredHeaterSensor,class,1,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/WiredSensorFactory.java,WiredSensorFactory,class,5,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/IHeaterSensor.java,IHeaterSensor,interface,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/IDoorSensor.java,IDoorSensor,interface,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/paddy667_AbstractFactory/ckmetrics/../src/ISensorFactory.java,ISensorFactory,interface,2,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
