file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/ShapeFactory.java,com.demo.abstractfactoryPatterndemo.implement.ShapeFactory,class,6,6,2,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,1,0,0,3,0,0,0,0,1,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/FactoryProducer.java,com.demo.abstractfactoryPatterndemo.implement.FactoryProducer,class,3,3,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,2,0,0,0,0,1,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/AbstractFactory.java,com.demo.abstractfactoryPatterndemo.implement.AbstractFactory,class,2,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/ColorFactory.java,com.demo.abstractfactoryPatterndemo.implement.ColorFactory,class,6,6,2,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,1,0,0,3,0,0,0,0,1,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/shape/Shape.java,com.demo.abstractfactoryPatterndemo.shape.Shape,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/shape/impl/Circle.java,com.demo.abstractfactoryPatterndemo.shape.impl.Circle,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/shape/impl/Rectangle.java,com.demo.abstractfactoryPatterndemo.shape.impl.Rectangle,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/shape/impl/Square.java,com.demo.abstractfactoryPatterndemo.shape.impl.Square,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/color/impl/Blue.java,com.demo.abstractfactoryPatterndemo.color.impl.Blue,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/color/impl/Red.java,com.demo.abstractfactoryPatterndemo.color.impl.Red,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/color/impl/Green.java,com.demo.abstractfactoryPatterndemo.color.impl.Green,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/color/Color.java,com.demo.abstractfactoryPatterndemo.color.Color,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,class,4,1,1,5,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,8,0,8,0,8,0,0,0,0,20,1,0
