file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/ShapeFactory.java,com.demo.abstractfactoryPatterndemo.implement.ShapeFactory,getColor/1[java.lang.String],color,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/ShapeFactory.java,com.demo.abstractfactoryPatterndemo.implement.ShapeFactory,getShape/1[java.lang.String],shapeType,4
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/FactoryProducer.java,com.demo.abstractfactoryPatterndemo.implement.FactoryProducer,getFactory/1[java.lang.String],choice,2
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/AbstractFactory.java,com.demo.abstractfactoryPatterndemo.implement.AbstractFactory,getShape/1[java.lang.String],shape,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/AbstractFactory.java,com.demo.abstractfactoryPatterndemo.implement.AbstractFactory,getColor/1[java.lang.String],color,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/ColorFactory.java,com.demo.abstractfactoryPatterndemo.implement.ColorFactory,getColor/1[java.lang.String],color,4
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/implement/ColorFactory.java,com.demo.abstractfactoryPatterndemo.implement.ColorFactory,getShape/1[java.lang.String],shapeType,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],color1,1
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],color2,1
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],shape1,1
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],shape2,1
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],shape3,1
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],colorFactory,3
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],shapeFactory,3
/root/DesignPatternsDetection/Data/Abstract_factory/raz00_AbstractFactoryDemo/ckmetrics/../src/com/demo/abstractfactoryPatterndemo/Program.java,com.demo.abstractfactoryPatterndemo.Program,main/1[java.lang.String[]],color3,1
