file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/MainFrame.java,ConcessionariaAuto.MainFrame,run/0,false,41,3,6,17,38,0,0,0,17,0,0,1,0,1,0,0,3,3,0,4,0,0,0,22,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/MainFrame.java,ConcessionariaAuto.MainFrame,MainFrame/0,true,24,1,1,6,10,0,1,0,6,0,0,0,0,0,0,0,4,3,0,0,0,0,0,11,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/ControlloTasti.java,ConcessionariaAuto.ControlloTasti,keyPressed/1[java.awt.event.KeyEvent],false,17,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/ControlloTasti.java,ConcessionariaAuto.ControlloTasti,ControlloTasti/1[ConcessionariaAuto.Pannello],true,10,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/ControlloTasti.java,ConcessionariaAuto.ControlloTasti,keyReleased/1[java.awt.event.KeyEvent],false,22,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoFactory.java,ConcessionariaAuto.AutoFactory,immagineAuto/0,false,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoFactory.java,ConcessionariaAuto.AutoFactory,caricaImmagine/0,false,17,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoBluFactory.java,ConcessionariaAuto.AutoBluFactory,immagineAuto/0,false,27,1,1,1,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoBluFactory.java,ConcessionariaAuto.AutoBluFactory,caricaImmagine/0,false,17,0,2,2,8,0,0,0,2,0,0,0,0,1,0,2,0,1,1,1,0,0,0,8,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoBluFactory.java,ConcessionariaAuto.AutoBluFactory,AutoBluFactory/0,true,12,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Main.java,ConcessionariaAuto.Main,main/1[java.lang.String[]],false,11,1,1,11,10,0,2,1,11,0,0,0,0,0,2,1,6,2,6,0,0,0,0,11,9,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoVerdeFactory.java,ConcessionariaAuto.AutoVerdeFactory,caricaImmagine/0,false,18,0,2,2,8,0,0,0,2,0,0,0,0,1,0,2,0,1,1,1,0,0,0,8,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoVerdeFactory.java,ConcessionariaAuto.AutoVerdeFactory,immagineAuto/0,false,28,1,1,1,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoVerdeFactory.java,ConcessionariaAuto.AutoVerdeFactory,AutoVerdeFactory/0,true,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Auto.java,ConcessionariaAuto.Auto,immagine/1[ConcessionariaAuto.AutoFactory],false,10,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
