file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/MainFrame.java,ConcessionariaAuto.MainFrame,run/0,e,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/MainFrame.java,ConcessionariaAuto.MainFrame,MainFrame/0,t,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/ControlloTasti.java,ConcessionariaAuto.ControlloTasti,keyPressed/1[java.awt.event.KeyEvent],e,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/ControlloTasti.java,ConcessionariaAuto.ControlloTasti,ControlloTasti/1[ConcessionariaAuto.Pannello],p,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/ControlloTasti.java,ConcessionariaAuto.ControlloTasti,keyReleased/1[java.awt.event.KeyEvent],e,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoBluFactory.java,ConcessionariaAuto.AutoBluFactory,caricaImmagine/0,e,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Main.java,ConcessionariaAuto.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Main.java,ConcessionariaAuto.Main,main/1[java.lang.String[]],framePrincipale,8
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Main.java,ConcessionariaAuto.Main,main/1[java.lang.String[]],dimensioneSchermo,2
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/AutoVerdeFactory.java,ConcessionariaAuto.AutoVerdeFactory,caricaImmagine/0,e,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Auto.java,ConcessionariaAuto.Auto,immagine/1[ConcessionariaAuto.AutoFactory],factory,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Pannello.java,ConcessionariaAuto.Pannello,tastoPremuto/1[java.awt.event.KeyEvent],e,1
/root/DesignPatternsDetection/Data/Abstract_factory/rimanto98_AbstractFactory/ckmetrics/../AbstractFactoryProject/src/ConcessionariaAuto/Pannello.java,ConcessionariaAuto.Pannello,actionPerformed/1[java.awt.event.ActionEvent],e,0
