file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanFactory.java,carstore.NissanFactory,class,2,2,2,5,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,2,0,5,1,1,0,0,0,0,14,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordFactory.java,carstore.FordFactory,class,2,2,2,5,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,2,0,5,1,1,0,0,0,0,14,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/CarStore.java,carstore.CarStore,interface,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordEngine.java,carstore.FordEngine,class,2,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,0,0,0,4,1,4,2,2,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordWindow.java,carstore.FordWindow,class,2,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,0,0,0,3,1,4,2,2,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanTire.java,carstore.NissanTire,class,2,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,0,0,0,4,1,4,2,2,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/MainCarStore.java,carstore.MainCarStore,class,4,1,1,3,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,4,0,4,0,0,0,0,17,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanWindow.java,carstore.NissanWindow,class,2,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,0,0,0,3,1,4,2,2,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/Engine.java,carstore.Engine,interface,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanChassis.java,carstore.NissanChassis,class,2,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,0,0,0,5,0,4,2,2,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/Car.java,carstore.Car,class,4,3,1,0,1,0.33333334,0.33333334,3,0,3,0,0,0,3,1,0,0,5,0,0,0,5,0,0,0,0,14,1,0,0,0,0,0,0,1,0,5,0,0,0,0,17,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/Tire.java,carstore.Tire,interface,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanStore.java,carstore.NissanStore,class,5,2,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,3,0,3,0,2,1,0,0,0,15,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/Window.java,carstore.Window,interface,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordPartFactory.java,carstore.FordPartFactory,class,9,4,1,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,4,0,0,0,0,0,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/PartAbstractFactory.java,carstore.PartAbstractFactory,interface,4,4,1,0,6,0.0,0.0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordStore.java,carstore.FordStore,class,5,2,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,3,0,3,0,2,1,0,0,0,18,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanEngine.java,carstore.NissanEngine,class,2,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,0,0,0,4,1,4,2,2,0,0,0,0,10,1,0
