file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanFactory.java,carstore.NissanFactory,NissanFactory/1[carstore.PartAbstractFactory],true,16,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanFactory.java,carstore.NissanFactory,createCar/0,false,22,1,1,5,7,0,0,0,5,0,0,0,0,0,0,2,0,4,1,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordFactory.java,carstore.FordFactory,FordFactory/1[carstore.PartAbstractFactory],true,16,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordFactory.java,carstore.FordFactory,createCar/0,false,22,1,1,5,7,0,0,0,5,0,0,0,0,0,0,2,0,4,1,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/CarStore.java,carstore.CarStore,orderCar/1[java.lang.String],false,13,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordEngine.java,carstore.FordEngine,FordEngine/0,true,17,1,1,1,5,0,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordEngine.java,carstore.FordEngine,"FordEngine/2[int,java.lang.String]",true,24,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordEngine.java,carstore.FordEngine,printInfo/0,false,32,0,1,1,5,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordWindow.java,carstore.FordWindow,"FordWindow/2[int,boolean]",true,24,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordWindow.java,carstore.FordWindow,FordWindow/0,true,17,1,1,1,5,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/FordWindow.java,carstore.FordWindow,printInfo/0,false,32,0,1,1,5,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanTire.java,carstore.NissanTire,"NissanTire/2[int,java.lang.String]",true,24,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanTire.java,carstore.NissanTire,NissanTire/0,true,17,1,1,1,5,0,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanTire.java,carstore.NissanTire,printInfo/0,false,32,0,1,1,5,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/MainCarStore.java,carstore.MainCarStore,main/1[java.lang.String[]],false,17,4,1,3,11,0,4,1,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,15,9,0,true
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanWindow.java,carstore.NissanWindow,NissanWindow/0,true,18,1,1,1,5,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanWindow.java,carstore.NissanWindow,printInfo/0,false,33,0,1,1,5,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Abstract_factory/sabs231_abstractFactory/ckmetrics/../CarStore/src/carstore/NissanWindow.java,carstore.NissanWindow,"NissanWindow/2[int,boolean]",true,25,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
