file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/Main.java,Main,class,5,1,1,2,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,6,0,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/Factory.java,abstractfactory.Factory,class,4,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/cars/Chevrolet.java,abstractfactory.cars.Chevrolet,class,2,3,2,1,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/cars/BrandCars.java,abstractfactory.cars.BrandCars,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/cars/Car.java,abstractfactory.cars.Car,class,1,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,2,0,0,3,1,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,1,0,3,0,0,0,0,9,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/cars/FactoryCars.java,abstractfactory.cars.FactoryCars,class,7,4,2,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/cars/Bentley.java,abstractfactory.cars.Bentley,class,2,3,2,1,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/motorcycles/BrandMotorcycle.java,abstractfactory.motorcycles.BrandMotorcycle,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/motorcycles/Yamaha.java,abstractfactory.motorcycles.Yamaha,class,2,3,2,1,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/motorcycles/Motorcycle.java,abstractfactory.motorcycles.Motorcycle,class,1,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,2,0,0,3,1,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,1,0,3,0,0,0,0,8,1025,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/motorcycles/Ducati.java,abstractfactory.motorcycles.Ducati,class,2,3,2,1,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/motorcycles/FactoryCars.java,abstractfactory.motorcycles.FactoryCars,class,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
/root/DesignPatternsDetection/Data/Abstract_factory/vitkozgit_AbstractFactory/ckmetrics/../src/abstractfactory/motorcycles/FactoryMotorcycles.java,abstractfactory.motorcycles.FactoryMotorcycles,class,7,4,2,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0
