file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/AudioPlayer.java,adapter.AudioPlayer,"play/2[java.lang.String,java.lang.String]",false,9,1,4,3,12,0,0,2,3,0,0,0,0,0,0,6,0,1,2,1,0,0,0,11,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/Mp4Player.java,adapter.Mp4Player,playMp4/1[java.lang.String],false,12,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/Mp4Player.java,adapter.Mp4Player,playVlc/1[java.lang.String],false,8,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/AdapterPatternDemo.java,adapter.AdapterPatternDemo,main/1[java.lang.String[]],false,4,1,1,1,7,0,1,1,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,7,9,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/MediaAdapter.java,adapter.MediaAdapter,"play/2[java.lang.String,java.lang.String]",false,17,1,3,3,8,0,0,2,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/MediaAdapter.java,adapter.MediaAdapter,MediaAdapter/1[java.lang.String],true,9,2,3,1,8,0,0,1,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/inter/MediaPlayer.java,adapter.inter.MediaPlayer,"play/2[java.lang.String,java.lang.String]",false,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/inter/AdvancedMediaPlayer.java,adapter.inter.AdvancedMediaPlayer,playMp4/1[java.lang.String],false,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/inter/AdvancedMediaPlayer.java,adapter.inter.AdvancedMediaPlayer,playVlc/1[java.lang.String],false,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/VlcPlayer.java,adapter.VlcPlayer,playMp4/1[java.lang.String],false,13,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/czq2019_AdapterPattern/ckmetrics/../src/adapter/VlcPlayer.java,adapter.VlcPlayer,playVlc/1[java.lang.String],false,8,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
