file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/Funcionario.java,br.com.studiotrek.Funcionario,Funcionario/1[java.lang.String],nome,2
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePontoNovo.java,br.com.studiotrek.ControlePontoNovo,"registrar/2[br.com.studiotrek.Funcionario,java.lang.Boolean]",calendar,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePontoNovo.java,br.com.studiotrek.ControlePontoNovo,"registrar/2[br.com.studiotrek.Funcionario,java.lang.Boolean]",simpleDateFormat,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePontoNovo.java,br.com.studiotrek.ControlePontoNovo,"registrar/2[br.com.studiotrek.Funcionario,java.lang.Boolean]",dataFormatada,2
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePontoNovo.java,br.com.studiotrek.ControlePontoNovo,"registrar/2[br.com.studiotrek.Funcionario,java.lang.Boolean]",entrada,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePontoNovo.java,br.com.studiotrek.ControlePontoNovo,"registrar/2[br.com.studiotrek.Funcionario,java.lang.Boolean]",funcionario,2
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePontoAdapter.java,br.com.studiotrek.ControlePontoAdapter,registraSaida/1[br.com.studiotrek.Funcionario],funcionario,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePontoAdapter.java,br.com.studiotrek.ControlePontoAdapter,registraEntrada/1[br.com.studiotrek.Funcionario],funcionario,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/Main.java,br.com.studiotrek.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/Main.java,br.com.studiotrek.Main,main/1[java.lang.String[]],controlePontoAdapter,2
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/Main.java,br.com.studiotrek.Main,main/1[java.lang.String[]],funcionario,2
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraEntrada/1[br.com.studiotrek.Funcionario],calendar,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraEntrada/1[br.com.studiotrek.Funcionario],simpleDateFormat,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraEntrada/1[br.com.studiotrek.Funcionario],dataFormatada,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraEntrada/1[br.com.studiotrek.Funcionario],funcionario,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraSaida/1[br.com.studiotrek.Funcionario],calendar,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraSaida/1[br.com.studiotrek.Funcionario],simpleDateFormat,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraSaida/1[br.com.studiotrek.Funcionario],dataFormatada,1
/root/DesignPatternsDetection/Data/Adapter/design-patterns-182_Adapter/ckmetrics/../src/br/com/studiotrek/ControlePonto.java,br.com.studiotrek.ControlePonto,registraSaida/1[br.com.studiotrek.Funcionario],funcionario,1
