file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/IPhoneCharger.java,org.java.patterns.adapter.IPhoneCharger,charge/1[org.java.patterns.adapter.Phone],false,5,2,1,2,4,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Phone.java,org.java.patterns.adapter.Phone,dial/1[java.lang.String],false,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Phone.java,org.java.patterns.adapter.Phone,getSignal/0,false,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/IPhone.java,org.java.patterns.adapter.IPhone,dial/1[java.lang.String],false,13,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/IPhone.java,org.java.patterns.adapter.IPhone,getSignal/0,false,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/SamsungCharger.java,org.java.patterns.adapter.SamsungCharger,charge/1[org.java.patterns.adapter.Phone],false,5,2,1,2,4,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/UsePhone.java,org.java.patterns.adapter.UsePhone,main/1[java.lang.String[]],false,5,5,1,3,14,0,4,1,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,12,9,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/GooglePhone.java,org.java.patterns.adapter.GooglePhone,dial/1[java.lang.String],false,7,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/GooglePhone.java,org.java.patterns.adapter.GooglePhone,getSignal/0,false,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Samsung.java,org.java.patterns.adapter.Samsung,dial/1[java.lang.String],false,7,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Samsung.java,org.java.patterns.adapter.Samsung,getSignal/0,false,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Charger.java,org.java.patterns.adapter.Charger,charge/1[org.java.patterns.adapter.Phone],false,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/ChargerAdapter.java,org.java.patterns.adapter.ChargerAdapter,charge/1[org.java.patterns.adapter.Phone],false,25,4,3,3,11,0,0,1,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/ChargerAdapter.java,org.java.patterns.adapter.ChargerAdapter,chargeSamsung/1[org.java.patterns.adapter.Phone],false,9,2,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,false
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/ChargerAdapter.java,org.java.patterns.adapter.ChargerAdapter,chargeIphone/1[org.java.patterns.adapter.Phone],false,17,2,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
