file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/IPhoneCharger.java,org.java.patterns.adapter.IPhoneCharger,charge/1[org.java.patterns.adapter.Phone],iPhone,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/IPhoneCharger.java,org.java.patterns.adapter.IPhoneCharger,charge/1[org.java.patterns.adapter.Phone],phone,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Phone.java,org.java.patterns.adapter.Phone,dial/1[java.lang.String],number,0
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/IPhone.java,org.java.patterns.adapter.IPhone,dial/1[java.lang.String],number,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/SamsungCharger.java,org.java.patterns.adapter.SamsungCharger,charge/1[org.java.patterns.adapter.Phone],samsung,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/SamsungCharger.java,org.java.patterns.adapter.SamsungCharger,charge/1[org.java.patterns.adapter.Phone],phone,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/UsePhone.java,org.java.patterns.adapter.UsePhone,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/UsePhone.java,org.java.patterns.adapter.UsePhone,main/1[java.lang.String[]],samsung,2
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/UsePhone.java,org.java.patterns.adapter.UsePhone,main/1[java.lang.String[]],google,2
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/UsePhone.java,org.java.patterns.adapter.UsePhone,main/1[java.lang.String[]],iphone,2
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/UsePhone.java,org.java.patterns.adapter.UsePhone,main/1[java.lang.String[]],chargerAdapter,3
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/GooglePhone.java,org.java.patterns.adapter.GooglePhone,dial/1[java.lang.String],number,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Samsung.java,org.java.patterns.adapter.Samsung,dial/1[java.lang.String],number,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/Charger.java,org.java.patterns.adapter.Charger,charge/1[org.java.patterns.adapter.Phone],phone,0
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/ChargerAdapter.java,org.java.patterns.adapter.ChargerAdapter,charge/1[org.java.patterns.adapter.Phone],phone,4
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/ChargerAdapter.java,org.java.patterns.adapter.ChargerAdapter,chargeSamsung/1[org.java.patterns.adapter.Phone],phone,1
/root/DesignPatternsDetection/Data/Adapter/jahicm_adapter/ckmetrics/../src/org/java/patterns/adapter/ChargerAdapter.java,org.java.patterns.adapter.ChargerAdapter,chargeIphone/1[org.java.patterns.adapter.Phone],phone,1
