file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",false,34,1,2,2,7,0,0,3,2,2,1,0,0,0,0,2,0,2,1,1,0,0,0,15,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,insertTabs/0,false,60,0,2,0,3,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,5,2,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,stripTabs/1[java.lang.String],false,95,0,2,4,6,1,2,1,4,0,0,1,0,0,0,1,0,2,0,1,0,0,0,9,2,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,format/1[java.lang.String],false,44,4,2,5,16,1,2,1,5,1,1,0,0,1,0,3,1,6,0,1,0,0,0,24,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,"startElement/4[java.lang.String,java.lang.String,java.lang.String,org.xml.sax.Attributes]",false,66,2,5,6,19,0,3,4,6,2,1,1,0,0,3,8,3,11,3,3,0,0,0,24,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,adjustWithPreviousText/0,false,88,0,2,0,6,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,PrettyPrinter/0,true,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/PrettyPrinter.java,refactor.adapter.xml.PrettyPrinter,"characters/3[char[],int,int]",false,23,2,2,2,10,0,1,3,2,1,1,0,0,0,0,2,0,5,0,1,0,0,0,13,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,addBelow/1[java.lang.String],false,8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,addGrandfather/1[java.lang.String],false,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,addAbove/1[java.lang.String],false,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,"addAttribute/2[java.lang.String,java.lang.String]",false,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,addBeside/1[java.lang.String],false,12,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,toString/0,false,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,addValue/1[java.lang.String],false,14,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/OutputBuilder.java,refactor.adapter.xml.OutputBuilder,startNewBuild/1[java.lang.String],false,16,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,addGrandfather/1[java.lang.String],false,26,2,4,4,10,0,1,1,4,1,1,0,2,0,1,0,1,2,0,1,0,0,0,23,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,"addAttribute/2[java.lang.String,java.lang.String]",false,39,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,toString/0,false,77,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,init/1[java.lang.String],false,65,1,1,1,7,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,4,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,addBelow/1[java.lang.String],false,43,1,1,2,7,0,1,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,addValue/1[java.lang.String],false,61,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,addBeside/1[java.lang.String],false,51,1,2,3,8,0,1,1,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,21,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,XMLBuilder/1[java.lang.String],true,10,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,addAbove/1[java.lang.String],false,14,2,4,4,9,0,1,1,4,1,1,0,2,0,1,0,1,2,0,1,0,0,0,23,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/XMLBuilder.java,refactor.adapter.xml.XMLBuilder,startNewBuild/1[java.lang.String],false,73,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/TagNode.java,refactor.adapter.xml.TagNode,writeEndTagTo/1[java.lang.StringBuffer],false,65,0,1,1,5,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,4,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/TagNode.java,refactor.adapter.xml.TagNode,"addAttribute/2[java.lang.String,java.lang.String]",false,22,0,1,1,7,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/TagNode.java,refactor.adapter.xml.TagNode,children/0,false,34,0,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/TagNode.java,refactor.adapter.xml.TagNode,add/1[refactor.adapter.xml.TagNode],false,18,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Adapter/meixuesong_refactor_adapter_pattern/ckmetrics/../src/refactor/adapter/xml/TagNode.java,refactor.adapter.xml.TagNode,addValue/1[java.lang.String],false,30,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
