file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Person.java,adapterimpl.Person,think/0,name,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Person.java,adapterimpl.Person,think/0,age,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Person.java,adapterimpl.Person,getAge/0,age,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Person.java,adapterimpl.Person,"Person/2[java.lang.String,int]",name,3
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Person.java,adapterimpl.Person,"Person/2[java.lang.String,int]",age,3
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Person.java,adapterimpl.Person,feel/0,name,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Person.java,adapterimpl.Person,getName/0,name,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Stone.java,adapterimpl.Stone,getType/0,type,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Stone.java,adapterimpl.Stone,"Stone/2[java.lang.String,int]",weight,3
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Stone.java,adapterimpl.Stone,"Stone/2[java.lang.String,int]",type,3
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Stone.java,adapterimpl.Stone,describe/0,weight,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Stone.java,adapterimpl.Stone,describe/0,type,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/Stone.java,adapterimpl.Stone,getWeight/0,weight,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/StoneAdapter.java,adapterimpl.StoneAdapter,getName/0,stone,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/StoneAdapter.java,adapterimpl.StoneAdapter,StoneAdapter/1[adapterimpl.Stone],stone,3
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/StoneAdapter.java,adapterimpl.StoneAdapter,think/0,stone,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/StoneAdapter.java,adapterimpl.StoneAdapter,getAge/0,stone,1
/root/DesignPatternsDetection/Data/Adapter/miskohut_Adapter/ckmetrics/../src/adapterimpl/StoneAdapter.java,adapterimpl.StoneAdapter,feel/0,stone,1
