file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,"drawLine/4[double,double,double,double]",y1,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,"drawLine/4[double,double,double,double]",x1,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,"drawLine/4[double,double,double,double]",y2,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,"drawLine/4[double,double,double,double]",x2,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,"drawCircle/3[double,double,double]",r,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,"drawCircle/3[double,double,double]",x,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,"drawCircle/3[double,double,double]",y,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Shape.java,src.Shape,Shape/1[src.Drawing],dr,1
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Drawing1.java,src.Drawing1,"drawCircle/3[double,double,double]",r,0
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Drawing1.java,src.Drawing1,"drawCircle/3[double,double,double]",x,0
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Drawing1.java,src.Drawing1,"drawCircle/3[double,double,double]",y,0
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Drawing1.java,src.Drawing1,"drawLine/4[double,double,double,double]",y1,0
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Drawing1.java,src.Drawing1,"drawLine/4[double,double,double,double]",x1,0
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Drawing1.java,src.Drawing1,"drawLine/4[double,double,double,double]",y2,0
/root/DesignPatternsDetection/Data/Bridge/nehabangale_BridgePattern/ckmetrics/../src/Drawing1.java,src.Drawing1,"drawLine/4[double,double,double,double]",x2,0
