file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,fromViewList/1[java.util.List<com.gkemon.XMLtoPDF.View>],viewList,3
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,postLog/1[java.lang.String],pdfGeneratorListener,2
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,hasAllPermission/1[com.gkemon.XMLtoPDF.Context],context,4
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,"postSuccess/4[com.gkemon.XMLtoPDF.PdfDocument,java.io.File,int,int]",pdfGeneratorListener,2
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,setContext/1[com.gkemon.XMLtoPDF.Context],context,3
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,setFolderName/1[java.lang.String],folderName,3
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,build/1[com.gkemon.XMLtoPDF.PdfGeneratorListener],context,2
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,build/1[com.gkemon.XMLtoPDF.PdfGeneratorListener],pdfGeneratorListener,3
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,disposeDisposable/0,disposable,3
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,setFileName/1[java.lang.String],fileName,3
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,fromView/1[com.gkemon.XMLtoPDF.View[]],viewList,1
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,"fromViewIDList/3[java.lang.Integer,com.gkemon.XMLtoPDF.Activity,java.util.List<java.lang.Integer>]",viewList,1
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,"fromViewIDList/3[java.lang.Integer,com.gkemon.XMLtoPDF.Activity,java.util.List<java.lang.Integer>]",pdfGeneratorListener,1
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,print/0,viewList,4
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,print/0,targetPdf,2
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,print/0,fileName,1
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,print/0,directoryPath,5
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder,print/0,openPdfFile,1
