file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/test/java/com/gkemon/XMLtoPDF/ExampleUnitTest.java,com.gkemon.XMLtoPDF.ExampleUnitTest,addition_isCorrect/0,false,14,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/androidTest/java/com/gkemon/XMLtoPDF/ExampleInstrumentedTest.java,com.gkemon.XMLtoPDF.ExampleInstrumentedTest,useAppContext/0,false,21,2,1,4,4,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/Utils.java,com.gkemon.XMLtoPDF.Utils,"getViewListFromLayout/3[com.gkemon.XMLtoPDF.Context,com.gkemon.XMLtoPDF.PdfGeneratorListener,java.util.List<java.lang.Integer>]",false,42,5,4,4,14,1,3,3,4,0,0,1,1,1,0,2,0,3,1,2,0,0,0,25,9,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/Utils.java,com.gkemon.XMLtoPDF.Utils,"getViewListFromID/4[com.gkemon.XMLtoPDF.Activity,java.lang.Integer,java.util.List<java.lang.Integer>,com.gkemon.XMLtoPDF.PdfGeneratorListener]",false,20,7,5,5,16,1,3,4,5,0,0,1,2,1,0,2,0,3,1,3,0,0,0,28,9,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$FileNameStep,setFileName/1[java.lang.String],false,133,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder$Anonymous1,onPermissionsChecked/1[com.gkemon.XMLtoPDF.MultiplePermissionsReport],false,409,2,4,6,12,0,0,1,6,0,0,2,0,0,0,3,0,0,2,1,0,0,0,21,1,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Builder$Anonymous1,"onPermissionRationaleShouldBeShown/2[java.util.List<com.gkemon.XMLtoPDF.PermissionRequest>,com.gkemon.XMLtoPDF.PermissionToken]",false,425,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Build,build/1[com.gkemon.XMLtoPDF.PdfGeneratorListener],false,137,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Build,setFolderName/1[java.lang.String],false,139,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/root/DesignPatternsDetection/Data/Builder/Gkemon_Android-XML-to-PDF-Generator/ckmetrics/../xml-to-pdf/src/main/java/com/gkemon/XMLtoPDF/PdfGenerator.java,com.gkemon.XMLtoPDF.PdfGenerator$Build,openPDFafterGeneration/1[boolean],false,141,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
