file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction$Anonymous1,run/0,elementFactory,4
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,update/1[github.builgen.action.AnActionEvent],currentEditorFile,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,update/1[github.builgen.action.AnActionEvent],editor,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,update/1[github.builgen.action.AnActionEvent],e,3
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,update/1[github.builgen.action.AnActionEvent],project,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,genBuildMethod/1[java.lang.String],builder,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,genBuildMethod/1[java.lang.String],clazzName,3
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderMethod/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",fieldName,4
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderMethod/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",builderClazzName,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderMethod/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",builder,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderMethod/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",fieldType,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderMethod/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",clazzName,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,firstLowercase/1[java.lang.String],string,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genSetMethod/2[java.lang.String,java.lang.String]",name,5
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genSetMethod/2[java.lang.String,java.lang.String]",builder,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genSetMethod/2[java.lang.String,java.lang.String]",type,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderConstructor/2[java.lang.String,java.lang.String]",builderClazzName,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderConstructor/2[java.lang.String,java.lang.String]",builder,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genBuilderConstructor/2[java.lang.String,java.lang.String]",clazzName,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genGetterAndSetter/3[github.builgen.action.PsiClass,java.util.List<github.builgen.action.PsiField>,github.builgen.action.PsiElementFactory]",field,6
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genGetterAndSetter/3[github.builgen.action.PsiClass,java.util.List<github.builgen.action.PsiField>,github.builgen.action.PsiElementFactory]",elementFactory,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genGetterAndSetter/3[github.builgen.action.PsiClass,java.util.List<github.builgen.action.PsiField>,github.builgen.action.PsiElementFactory]",setMethodContent,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genGetterAndSetter/3[github.builgen.action.PsiClass,java.util.List<github.builgen.action.PsiField>,github.builgen.action.PsiElementFactory]",getMethodContent,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genGetterAndSetter/3[github.builgen.action.PsiClass,java.util.List<github.builgen.action.PsiField>,github.builgen.action.PsiElementFactory]",fields,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,"genGetterAndSetter/3[github.builgen.action.PsiClass,java.util.List<github.builgen.action.PsiField>,github.builgen.action.PsiElementFactory]",psiClass,4
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,actionPerformed/1[github.builgen.action.AnActionEvent],currentEditorFile,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,actionPerformed/1[github.builgen.action.AnActionEvent],editor,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,actionPerformed/1[github.builgen.action.AnActionEvent],e,2
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,actionPerformed/1[github.builgen.action.AnActionEvent],project,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,actionPerformed/1[github.builgen.action.AnActionEvent],fields,1
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,actionPerformed/1[github.builgen.action.AnActionEvent],psiClass,3
/root/DesignPatternsDetection/Data/Builder/clyoudu_Builgen-plugin/ckmetrics/../idea/Builgen/src/github/builgen/action/BuilgenAction.java,github.builgen.action.BuilgenAction,actionPerformed/1[github.builgen.action.AnActionEvent],element,1
