file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/java/info/dourok/compiler/MockJavaObjects.java,info.dourok.compiler.MockJavaObjects,full/1[javax.tools.JavaFileObject[]],resources,1
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/mock/BaseResultConsumer.java,info.dourok.esactivity.BaseResultConsumer,hasConsumer/0,okConsumer,1
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/mock/BaseResultConsumer.java,info.dourok.esactivity.BaseResultConsumer,hasConsumer/0,cancelConsumer,1
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/mock/BaseResultConsumer.java,info.dourok.esactivity.BaseResultConsumer,hasConsumer/0,biConsumer,1
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/ActivityBuilder/emptyActivity/BuilderUtil.java,info.dourok.esactivity.BuilderUtil,"smallCreate/2[A,java.lang.Class<? extends info.dourok.esactivity.Activity>]",sBuilderMap,2
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/ActivityBuilder/emptyActivity/EmptyActivityHelper.java,test.EmptyActivityHelper,"EmptyActivityHelper/2[test.EmptyActivity,boolean]",activity,3
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/ActivityBuilder/emptyActivity/EmptyActivityHelper.java,test.EmptyActivityHelper,EmptyActivityHelper/1[test.EmptyActivity],activity,1
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/ActivityBuilder/emptyActivity/EmptyActivityHelper.java,test.EmptyActivityHelper,inject/0,activity,1
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/test/resources/BuilderUtilsPackage/hasAnnotation/BuilderUtil.java,test.BuilderUtil,"smallCreate/2[A,java.lang.Class<? extends test.Activity>]",sBuilderMap,2
/root/DesignPatternsDetection/Data/Builder/douo_ActivityBuilder/ckmetrics/../compiler/src/main/java/info/dourok/compiler/parameter/ParameterWriter.java,info.dourok.compiler.parameter.ParameterWriter,getDisplayName/0,parameter,1
