file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/test/java/com/eidoscode/samples/TestCarBuilder.java,com.eidoscode.samples.TestCarBuilder,testeElectricCar/0,logger,3
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/test/java/com/eidoscode/samples/TestCarBuilder.java,com.eidoscode.samples.TestCarBuilder,testInternalCombustionCar/0,logger,7
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/ElectricCar.java,com.eidoscode.samples.builder.ElectricCar$Builder,batteryCapacity/1[int],batteryCapacity,4
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/ElectricCar.java,com.eidoscode.samples.builder.ElectricCar$Builder,getBatteryCapacity/0,batteryCapacity,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/ElectricCar.java,com.eidoscode.samples.builder.ElectricCar,getBatteryCapacity/0,batteryCapacity,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/ElectricCar.java,com.eidoscode.samples.builder.ElectricCar,toString/0,batteryCapacity,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/ElectricCar.java,com.eidoscode.samples.builder.ElectricCar,ElectricCar/1[com.eidoscode.samples.builder.ElectricCar.Builder],batteryCapacity,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,"DefaultCar/1[com.eidoscode.samples.builder.DefaultCar.Builder<C,B>]",color,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,"DefaultCar/1[com.eidoscode.samples.builder.DefaultCar.Builder<C,B>]",torque,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,"DefaultCar/1[com.eidoscode.samples.builder.DefaultCar.Builder<C,B>]",power,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,"DefaultCar/1[com.eidoscode.samples.builder.DefaultCar.Builder<C,B>]",type,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,"DefaultCar/1[com.eidoscode.samples.builder.DefaultCar.Builder<C,B>]",brand,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,"DefaultCar/1[com.eidoscode.samples.builder.DefaultCar.Builder<C,B>]",gears,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,getBrand/0,brand,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,getColor/0,color,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,decorate/1[B],color,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,decorate/1[B],torque,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,decorate/1[B],power,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,decorate/1[B],gears,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,getType/0,type,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,getPower/0,power,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,getTorque/0,torque,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar,getGears/0,gears,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar$Builder,getColor/0,color,1
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar$Builder,power/1[int],power,4
/root/DesignPatternsDetection/Data/Builder/eidoscode_builder-pattern-sample/ckmetrics/../src/main/java/com/eidoscode/samples/builder/DefaultCar.java,com.eidoscode.samples.builder.DefaultCar$Builder,"Builder/2[java.lang.String,java.lang.String]",type,3
