file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,getOnExitJaulaListener/0,onExitJaulaListener,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,getSizeTrapezio/0,size,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,"Body/4[int,org.bodybuilder.porra.Trapezio,java.lang.Double,org.bodybuilder.porra.Body.OnExitJaulaListener]",trapezio,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,"Body/4[int,org.bodybuilder.porra.Trapezio,java.lang.Double,org.bodybuilder.porra.Body.OnExitJaulaListener]",onExitJaulaListener,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,"Body/4[int,org.bodybuilder.porra.Trapezio,java.lang.Double,org.bodybuilder.porra.Body.OnExitJaulaListener]",foodEaten,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,"Body/4[int,org.bodybuilder.porra.Trapezio,java.lang.Double,org.bodybuilder.porra.Body.OnExitJaulaListener]",age,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,getTrapezio/0,trapezio,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,getFoodEaten/0,foodEaten,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,setSizeTrapezio/1[java.lang.Double],size,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/Body.java,org.bodybuilder.porra.Body,getAge/0,age,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,setTrapezio/1[org.bodybuilder.porra.Trapezio],trapezio,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,setHelpQuote/1[java.lang.String],helpQuote,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,buildPORRA/0,trapezio,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,buildPORRA/0,onExitJaulaListener,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,buildPORRA/0,foodEaten,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,buildPORRA/0,age,1
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,setAge/1[int],age,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,setOnExitJaulaListener/1[org.bodybuilder.porra.Body.OnExitJaulaListener],onExitJaulaListener,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,setHora/1[org.bodybuilder.porra.Hora],hora,3
/root/DesignPatternsDetection/Data/Builder/fanta-mnix_body-builder/ckmetrics/../src/org/bodybuilder/porra/BodyBuilder.java,org.bodybuilder.porra.BodyBuilder,setFoodEaten/1[java.lang.Double],foodEaten,3
