file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/User.java,cn.ifavor.builderpattern.User$Builder,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/User.java,cn.ifavor.builderpattern.User$Builder,setAddress/1[java.lang.String],address,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/User.java,cn.ifavor.builderpattern.User$Builder,setAge/1[int],age,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/hourse/Designer.java,cn.ifavor.builderpattern.hourse.Designer,command/1[cn.ifavor.builderpattern.hourse.Builder],builder,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/hourse/RoomBuilder.java,cn.ifavor.builderpattern.hourse.RoomBuilder,mkFloor/0,floor,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/hourse/RoomBuilder.java,cn.ifavor.builderpattern.hourse.RoomBuilder,mkWindow/0,window,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/hourse/Room.java,cn.ifavor.builderpattern.hourse.Room,setWindow/1[cn.ifavor.builderpattern.hourse.Window],window,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/hourse/Room.java,cn.ifavor.builderpattern.hourse.Room,setFloor/1[cn.ifavor.builderpattern.hourse.Floor],floor,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,loadImage/0,controller,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,loadImage/0,successUrl,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,onCreate/1[cn.ifavor.builderpattern.Bundle],savedInstanceState,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,onCreate/1[cn.ifavor.builderpattern.Bundle],design,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,onCreate/1[cn.ifavor.builderpattern.Bundle],builder,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,onCreate/1[cn.ifavor.builderpattern.Bundle],window,0
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,onCreate/1[cn.ifavor.builderpattern.Bundle],floor,0
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,onCreate/1[cn.ifavor.builderpattern.Bundle],room,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,FrescoDemo/0,hierarchy,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/MainActivity.java,cn.ifavor.builderpattern.MainActivity,FrescoDemo/0,builder,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/AlertDialog.java,cn.ifavor.builderpattern.AlertDialog$Builder,setTitle/1[java.lang.String],title,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/AlertDialog.java,cn.ifavor.builderpattern.AlertDialog$Builder,setMessage/1[java.lang.String],message,2
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/AlertDialog.java,cn.ifavor.builderpattern.AlertDialog$Builder,Builder/1[boolean],isContext,1
/root/DesignPatternsDetection/Data/Builder/heshiweij_BuilderPatternDemo/ckmetrics/../app/src/main/java/cn/ifavor/builderpattern/AlertDialog.java,cn.ifavor.builderpattern.AlertDialog$Builder,setButtonCount/1[int],buttonCount,2
