file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/response/MessageResponse.java,nl.novi.dpcc.builder.payload.response.MessageResponse,getMessage/0,message,1
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/response/MessageResponse.java,nl.novi.dpcc.builder.payload.response.MessageResponse,setMessage/1[java.lang.String],message,3
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/response/MessageResponse.java,nl.novi.dpcc.builder.payload.response.MessageResponse,MessageResponse/1[java.lang.String],message,3
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/request/UserRegistrationRequest.java,nl.novi.dpcc.builder.payload.request.UserRegistrationRequest,setEmail/1[java.lang.String],email,3
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/request/UserRegistrationRequest.java,nl.novi.dpcc.builder.payload.request.UserRegistrationRequest,getPassword/0,password,1
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/request/UserRegistrationRequest.java,nl.novi.dpcc.builder.payload.request.UserRegistrationRequest,setFirstName/1[java.lang.String],firstName,3
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/request/UserRegistrationRequest.java,nl.novi.dpcc.builder.payload.request.UserRegistrationRequest,setPasswordRepeated/1[java.lang.String],passwordRepeated,3
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/request/UserRegistrationRequest.java,nl.novi.dpcc.builder.payload.request.UserRegistrationRequest,setPassword/1[java.lang.String],password,3
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/request/UserRegistrationRequest.java,nl.novi.dpcc.builder.payload.request.UserRegistrationRequest,getEmail/0,email,1
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssFour/ckmetrics/../src/main/java/nl/novi/dpcc/builder/payload/request/UserRegistrationRequest.java,nl.novi.dpcc.builder.payload.request.UserRegistrationRequest,getLastName/0,lastName,1
