file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setProvince/1[java.lang.String],province,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setPasswordTwo/1[java.lang.String],passwordTwo,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setHouseNumberAddition/1[java.lang.String],houseNumberAddition,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setFirstName/1[java.lang.String],firstName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setHouseNumber/1[int],houseNumber,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setStreetName/1[java.lang.String],streetName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setUserName/1[java.lang.String],userName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setLastName/1[java.lang.String],lastName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setPostalCode/1[java.lang.String],postalCode,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/payload/request/RegisterUserRequest.java,nl.novi.dpcc.builder.payload.request.RegisterUserRequest,setPasswordOne/1[java.lang.String],passwordOne,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_AssThree/ckmetrics/../src/nl/novi/dpcc/builder/Main.java,nl.novi.dpcc.builder.Main,main/1[java.lang.String[]],args,0
