file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,"BankAccountBuilder/3[java.lang.String,double,double]",amount,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,"BankAccountBuilder/3[java.lang.String,double,double]",interest,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,"BankAccountBuilder/3[java.lang.String,double,double]",iban,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,withAmount/1[double],amount,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,withInterest/1[double],interest,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,withLastName/1[java.lang.String],lastName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,withIban/1[java.lang.String],iban,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccountBuilder.java,nl.novi.dpcc.builder.example.BankAccountBuilder,withFirstName/1[java.lang.String],firstName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccount.java,nl.novi.dpcc.builder.example.BankAccount,"BankAccount/5[java.lang.String,java.lang.String,java.lang.String,double,double]",firstName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccount.java,nl.novi.dpcc.builder.example.BankAccount,"BankAccount/5[java.lang.String,java.lang.String,java.lang.String,double,double]",lastName,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccount.java,nl.novi.dpcc.builder.example.BankAccount,"BankAccount/5[java.lang.String,java.lang.String,java.lang.String,double,double]",amount,2
/root/DesignPatternsDetection/Data/Builder/hogeschoolnovi_SD-BE-DP-BuilderPattern_Examples/ckmetrics/../src/nl/novi/dpcc/builder/example/BankAccount.java,nl.novi.dpcc.builder.example.BankAccount,"BankAccount/5[java.lang.String,java.lang.String,java.lang.String,double,double]",interest,2
