file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/server/rpc/NestedListTestServiceImpl.java,org.inferred.freebuilder.server.rpc.NestedListTestServiceImpl,echo/1[org.inferred.freebuilder.client.rpc.NestedListGwtType],mapGwtType,1
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/server/rpc/OptionalTestServiceImpl.java,org.inferred.freebuilder.server.rpc.OptionalTestServiceImpl,echo/1[org.inferred.freebuilder.client.rpc.OptionalGwtType],mapGwtType,1
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/server/rpc/StringListTestServiceImpl.java,org.inferred.freebuilder.server.rpc.StringListTestServiceImpl,echo/1[org.inferred.freebuilder.client.rpc.StringListGwtType],mapGwtType,1
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/server/rpc/MapTestServiceImpl.java,org.inferred.freebuilder.server.rpc.MapTestServiceImpl,echo/1[org.inferred.freebuilder.client.rpc.MapGwtType],mapGwtType,1
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/client/rpc/NestedListTestServiceAsync.java,org.inferred.freebuilder.client.rpc.NestedListTestServiceAsync,"echo/2[org.inferred.freebuilder.client.rpc.NestedListGwtType,org.inferred.freebuilder.client.rpc.AsyncCallback<org.inferred.freebuilder.client.rpc.NestedListGwtType>]",nestedListGwtType,0
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/client/rpc/NestedListTestServiceAsync.java,org.inferred.freebuilder.client.rpc.NestedListTestServiceAsync,"echo/2[org.inferred.freebuilder.client.rpc.NestedListGwtType,org.inferred.freebuilder.client.rpc.AsyncCallback<org.inferred.freebuilder.client.rpc.NestedListGwtType>]",callback,0
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/client/rpc/StringListTestServiceAsync.java,org.inferred.freebuilder.client.rpc.StringListTestServiceAsync,"echo/2[org.inferred.freebuilder.client.rpc.StringListGwtType,org.inferred.freebuilder.client.rpc.AsyncCallback<org.inferred.freebuilder.client.rpc.StringListGwtType>]",stringListGwtType,0
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/client/rpc/StringListTestServiceAsync.java,org.inferred.freebuilder.client.rpc.StringListTestServiceAsync,"echo/2[org.inferred.freebuilder.client.rpc.StringListGwtType,org.inferred.freebuilder.client.rpc.AsyncCallback<org.inferred.freebuilder.client.rpc.StringListGwtType>]",callback,0
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/client/rpc/NestedListTestService.java,org.inferred.freebuilder.client.rpc.NestedListTestService,echo/1[org.inferred.freebuilder.client.rpc.NestedListGwtType],nestedListGwtType,0
/root/DesignPatternsDetection/Data/Builder/inferred_FreeBuilder/ckmetrics/../src/it/gwt/src/test/java/org/inferred/freebuilder/client/rpc/OptionalTestService.java,org.inferred.freebuilder.client.rpc.OptionalTestService,echo/1[org.inferred.freebuilder.client.rpc.OptionalGwtType],optionalGwtType,0
