file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Transaction.java,oop.inheritance.data.Transaction,setAmountInCents/1[int],amountInCents,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Transaction.java,oop.inheritance.data.Transaction,setLocalDateTime/1[java.time.LocalDateTime],localDateTime,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Transaction.java,oop.inheritance.data.Transaction,setCard/1[oop.inheritance.data.Card],card,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Transaction.java,oop.inheritance.data.Transaction,getAmountInCents/0,amountInCents,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Transaction.java,oop.inheritance.data.Transaction,getCard/0,card,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Transaction.java,oop.inheritance.data.Transaction,getLocalDateTime/0,localDateTime,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDateBuilder.java,oop.inheritance.data.ExpirationDateBuilder,build/0,month,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDateBuilder.java,oop.inheritance.data.ExpirationDateBuilder,build/0,year,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDateBuilder.java,oop.inheritance.data.ExpirationDateBuilder,year/1[int],year,4
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDateBuilder.java,oop.inheritance.data.ExpirationDateBuilder,month/1[int],month,4
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/CardBuilder.java,oop.inheritance.data.CardBuilder,entryMode/1[oop.inheritance.data.EntryMode],entryMode,4
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/CardBuilder.java,oop.inheritance.data.CardBuilder,account/1[java.lang.String],account,4
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/CardBuilder.java,oop.inheritance.data.CardBuilder,build/0,account,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/CardBuilder.java,oop.inheritance.data.CardBuilder,build/0,expirationDate,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/CardBuilder.java,oop.inheritance.data.CardBuilder,build/0,entryMode,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/CardBuilder.java,oop.inheritance.data.CardBuilder,expirationDate/1[oop.inheritance.data.ExpirationDate],expirationDate,4
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Card.java,oop.inheritance.data.Card,"Card/3[java.lang.String,oop.inheritance.data.ExpirationDate,oop.inheritance.data.EntryMode]",account,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Card.java,oop.inheritance.data.Card,"Card/3[java.lang.String,oop.inheritance.data.ExpirationDate,oop.inheritance.data.EntryMode]",expirationDate,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Card.java,oop.inheritance.data.Card,"Card/3[java.lang.String,oop.inheritance.data.ExpirationDate,oop.inheritance.data.EntryMode]",entryMode,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Card.java,oop.inheritance.data.Card,getAccount/0,account,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Card.java,oop.inheritance.data.Card,getExpirationDate/0,expirationDate,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/Card.java,oop.inheritance.data.Card,getEntryMode/0,entryMode,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/TransactionResponse.java,oop.inheritance.data.TransactionResponse,getHostReference/0,hostReference,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/TransactionResponse.java,oop.inheritance.data.TransactionResponse,"TransactionResponse/2[boolean,java.lang.String]",hostReference,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/TransactionResponse.java,oop.inheritance.data.TransactionResponse,"TransactionResponse/2[boolean,java.lang.String]",approved,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/TransactionResponse.java,oop.inheritance.data.TransactionResponse,setApproved/1[boolean],approved,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/TransactionResponse.java,oop.inheritance.data.TransactionResponse,setHostReference/1[java.lang.String],hostReference,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/TransactionResponse.java,oop.inheritance.data.TransactionResponse,isApproved/0,approved,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDate.java,oop.inheritance.data.ExpirationDate,"ExpirationDate/2[int,int]",month,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDate.java,oop.inheritance.data.ExpirationDate,"ExpirationDate/2[int,int]",year,3
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDate.java,oop.inheritance.data.ExpirationDate,getMonth/0,month,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/data/ExpirationDate.java,oop.inheritance.data.ExpirationDate,getYear/0,year,1
/root/DesignPatternsDetection/Data/Builder/iuresti_tpv-exercise/ckmetrics/../src/oop/inheritance/verifone/v240m/VerifoneV240mStorageSystem.java,oop.inheritance.verifone.v240m.VerifoneV240mStorageSystem,"save/2[java.lang.String,java.lang.String]",properties,1
