file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/TestGoto.java,brennus.asm.TestGoto$FSA,state/1[java.lang.String],states,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/TestGoto.java,brennus.asm.TestGoto$FSA,getStates/0,states,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/TestGoto.java,brennus.asm.TestGoto$FSA2,state/1[java.lang.String],states,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/TestGoto.java,brennus.asm.TestGoto$FSA2,getStates/0,states,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/TestGetSet.java,brennus.asm.TestGetSet$Base,validate/1[java.lang.Object],toValidate,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/ref/ReferenceClass.java,brennus.asm.ref.ReferenceClass,equals/1[java.lang.Object],a,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/ref/ReferenceClass.java,brennus.asm.ref.ReferenceClass,equals/1[java.lang.Object],b,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/ref/ReferenceClass.java,brennus.asm.ref.ReferenceClass,equals/1[java.lang.Object],c,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/ref/ReferenceClass.java,brennus.asm.ref.ReferenceClass,equals/1[java.lang.Object],d,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/ref/ReferenceClass.java,brennus.asm.ref.ReferenceClass,equals/1[java.lang.Object],e,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/ref/ReferenceClass.java,brennus.asm.ref.ReferenceClass,equals/1[java.lang.Object],f,1
/root/DesignPatternsDetection/Data/Builder/julienledem_brennus/ckmetrics/../brennus-asm/src/test/java/brennus/asm/ref/ReferenceClass.java,brennus.asm.ref.ReferenceClass,equals/1[java.lang.Object],g,1
