file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,-1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,class,3,6,2,2,1,0.46666667,0.6666667,6,1,5,0,1,0,6,0,0,0,3,0,0,0,3,0,3,0,0,43,4,0,0,0,0,4,0,4,1,4,0,1,2,0,14,1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass$BuilderImpl,innerclass,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,3,0,0,0,0,6,12,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass$Builder,innerclass,2,1,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample,class,4,2,2,2,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,32,0,0,0,0,0,0,1,3,0,3,0,1,1,0,24,1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,-1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample$BaseBuilder,innerclass,2,3,2,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,14,1,0,0,0,0,0,0,3,2,0,2,0,0,0,8,1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass$BuilderImpl,innerclass,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,3,0,0,0,0,6,12,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,-1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass$Builder,innerclass,2,1,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,class,3,6,2,2,1,0.46666667,0.6666667,6,1,5,0,1,0,6,0,0,0,3,0,0,0,3,0,3,0,0,43,4,0,0,0,0,4,0,4,1,4,0,1,2,0,11,1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewMyClass.java,com.speakingfish.builder.simple.test.NewMyClass$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,-1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewMyClass.java,com.speakingfish.builder.simple.test.NewMyClass,class,2,6,1,2,1,0.46666667,0.6666667,6,1,5,0,1,0,6,0,0,0,3,0,0,0,3,0,3,0,0,41,4,0,0,0,0,4,0,4,1,4,0,1,1,0,13,1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewMyClass.java,com.speakingfish.builder.simple.test.NewMyClass$Builder,innerclass,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,8,1,0,0,0,0,0,1,3,0,3,0,0,0,0,9,9,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewChildClass.java,com.speakingfish.builder.simple.test.NewChildClass$Builder,innerclass,2,1,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewChildClass.java,com.speakingfish.builder.simple.test.NewChildClass$BuilderImpl,innerclass,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,12,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewChildClass.java,com.speakingfish.builder.simple.test.NewChildClass$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,-1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewChildClass.java,com.speakingfish.builder.simple.test.NewChildClass,class,5,4,5,2,0,0.5,0.5,4,1,3,0,1,0,4,0,0,0,1,0,0,0,1,0,1,0,0,32,2,0,0,0,0,5,0,2,1,2,0,1,2,0,17,1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyClass.java,com.speakingfish.builder.simple.test.MyClass$Builder,innerclass,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,8,1,0,0,0,0,0,1,3,0,3,0,0,0,0,8,9,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyClass.java,com.speakingfish.builder.simple.test.MyClass,class,2,6,1,2,1,0.46666667,0.6666667,6,1,5,0,1,0,6,0,0,0,3,0,0,0,3,0,3,0,0,41,4,0,0,0,0,4,0,4,1,4,0,1,1,0,10,1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyClass.java,com.speakingfish.builder.simple.test.MyClass$Anonymous1,anonymous,0,1,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,-1,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyFunctions.java,com.speakingfish.builder.simple.test.MyFunctions$Anonymous9,anonymous,1,1,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,3,0,0,0,0,0,0,4,-1,0
