file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,toString/0,third,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,toString/0,first,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,toString/0,second,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,first/0,first,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,second/0,second,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,third/0,third,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,NewBaseClass/1[com.speakingfish.builder.simple.test.NewBaseClass.BuilderImpl],third,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,NewBaseClass/1[com.speakingfish.builder.simple.test.NewBaseClass.BuilderImpl],first,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,NewBaseClass/1[com.speakingfish.builder.simple.test.NewBaseClass.BuilderImpl],second,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample,LocalBuilderExample/1[double],base,3
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,"MyBaseClass/3[int,double,java.lang.String]",third,3
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,"MyBaseClass/3[int,double,java.lang.String]",first,3
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,"MyBaseClass/3[int,double,java.lang.String]",second,3
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,second/0,second,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,third/0,third,2
