file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,main/1[java.lang.String[]],my,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewBaseClass.java,com.speakingfish.builder.simple.test.NewBaseClass,NewBaseClass/1[com.speakingfish.builder.simple.test.NewBaseClass.BuilderImpl],builder,3
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample,main/1[java.lang.String[]],result,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample,main/1[java.lang.String[]],context,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/LocalBuilderExample.java,com.speakingfish.builder.simple.test.LocalBuilderExample,LocalBuilderExample/1[double],base,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,"MyBaseClass/3[int,double,java.lang.String]",third,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,"MyBaseClass/3[int,double,java.lang.String]",first,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,"MyBaseClass/3[int,double,java.lang.String]",second,2
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/MyBaseClass.java,com.speakingfish.builder.simple.test.MyBaseClass,main/1[java.lang.String[]],my,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewMyClass.java,com.speakingfish.builder.simple.test.NewMyClass,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewMyClass.java,com.speakingfish.builder.simple.test.NewMyClass,main/1[java.lang.String[]],my,1
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewMyClass.java,com.speakingfish.builder.simple.test.NewMyClass,NewMyClass/1[com.speakingfish.builder.simple.test.NewMyClass.Builder],builder,3
/root/DesignPatternsDetection/Data/Builder/speaking-fish_java-sf-builder-simple-example/ckmetrics/../src/com/speakingfish/builder/simple/test/NewChildClass.java,com.speakingfish.builder.simple.test.NewChildClass,NewChildClass/1[com.speakingfish.builder.simple.test.NewChildClass.BuilderImpl],builder,2
