file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Tracker.java,pattern.Tracker,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Tracker.java,pattern.Tracker,main/1[java.lang.String[]],firstRoadNotifier,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Tracker.java,pattern.Tracker,main/1[java.lang.String[]],secondRoadNotifier,3
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Tracker.java,pattern.Tracker,main/1[java.lang.String[]],thirdRoadNotifier,3
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Tracker.java,pattern.Tracker,main/1[java.lang.String[]],fourthRoadNotifier,3
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Tracker.java,pattern.Tracker,main/1[java.lang.String[]],fifthRoadNotifier,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/ThirdRoad.java,pattern.ThirdRoad,ThirdRoad/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/ThirdRoad.java,pattern.ThirdRoad,write/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Notifier.java,pattern.Notifier,write/1[java.lang.String],message,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Notifier.java,pattern.Notifier,setNextNotifier/1[pattern.Notifier],nextNotifier,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Notifier.java,pattern.Notifier,Notifier/1[int],priority,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Notifier.java,pattern.Notifier,"notifyManager/2[java.lang.String,int]",level,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Notifier.java,pattern.Notifier,"notifyManager/2[java.lang.String,int]",message,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/Main.java,pattern.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/FourthRoad.java,pattern.FourthRoad,FourthRoad/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/FourthRoad.java,pattern.FourthRoad,write/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/FirstRoad.java,pattern.FirstRoad,FirstRoad/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/FirstRoad.java,pattern.FirstRoad,write/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/SecondRoad.java,pattern.SecondRoad,SecondRoad/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/SecondRoad.java,pattern.SecondRoad,write/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/FifthRoad.java,pattern.FifthRoad,FifthRoad/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/Neytllas_Pattern/ckmetrics/../src/pattern/FifthRoad.java,pattern.FifthRoad,write/1[java.lang.String],message,1
