file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule50,takeMoney/1[bankomate.Money],money,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule50,takeMoney/1[bankomate.Money],countNote,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule50,takeMoney/1[bankomate.Money],remind,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.BankomateApp,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.BankomateApp,main/1[java.lang.String[]],note10,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.BankomateApp,main/1[java.lang.String[]],note100,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.BankomateApp,main/1[java.lang.String[]],note50,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule10,takeMoney/1[bankomate.Money],money,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule10,takeMoney/1[bankomate.Money],countNote,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule10,takeMoney/1[bankomate.Money],remind,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule20,takeMoney/1[bankomate.Money],money,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule20,takeMoney/1[bankomate.Money],countNote,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule20,takeMoney/1[bankomate.Money],remind,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule,setNextMoneyModule/1[bankomate.NoteModule],module,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule,takeMoney/1[bankomate.Money],money,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule100,takeMoney/1[bankomate.Money],money,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule100,takeMoney/1[bankomate.Money],countNote,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.NoteModule100,takeMoney/1[bankomate.Money],remind,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.Money,setAmount/1[int],amount,5
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/bankomate/BankomateApp.java,bankomate.Money,Money/1[int],amount,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.Logger,setNext/1[simple.realization.Logger],next,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.Logger,write/1[java.lang.String],message,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.Logger,"writeMessage/2[java.lang.String,int]",level,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.Logger,"writeMessage/2[java.lang.String,int]",message,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.Logger,Logger/1[int],priority,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.SmsLogger,SmsLogger/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.SmsLogger,write/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.FileLogger,write/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.FileLogger,FileLogger/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.ChainOfResponsibilityApp,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.ChainOfResponsibilityApp,main/1[java.lang.String[]],fileLogger,2
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.ChainOfResponsibilityApp,main/1[java.lang.String[]],emailLogger,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.ChainOfResponsibilityApp,main/1[java.lang.String[]],smsLogger,4
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.EmailLogger,EmailLogger/1[int],priority,1
/root/DesignPatternsDetection/Data/Chain_of_responsibility/archMcMilan_ChainOfResponsibility/ckmetrics/../src/simple/realization/ChainOfResponsibilityApp.java,simple.realization.EmailLogger,write/1[java.lang.String],message,1
