file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/utils/ChainDiscovery.java,ar.com.jolisper.metachainer.utils.ChainDiscovery,class,6,9,1,13,0,1.0,1.0,4,3,2,2,0,0,2,0,0,1,2,1,0,2,0,0,0,0,4,43,3,1,1,2,0,1,0,13,0,9,2,0,0,0,57,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/ValidatorChain.java,ar.com.jolisper.metachainer.test.ValidatorChain,class,4,4,1,1,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,5,2,0,0,0,0,0,0,0,12,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/OrderNumberMustBeGreaterThan1Chain.java,ar.com.jolisper.metachainer.test.OrderNumberMustBeGreaterThan1Chain,class,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/BreakOnErrorsMethodChain.java,ar.com.jolisper.metachainer.test.BreakOnErrorsMethodChain,class,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,12,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/EnsureChain.java,ar.com.jolisper.metachainer.test.EnsureChain,class,4,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,1,0,0,0,0,0,0,0,11,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/ThereIsAnotherStepWithTheSameOrderNumber.java,ar.com.jolisper.metachainer.test.ThereIsAnotherStepWithTheSameOrderNumber,class,3,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,16,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/BreakOnInvalidMethodChain.java,ar.com.jolisper.metachainer.test.BreakOnInvalidMethodChain,class,4,3,1,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,4,2,0,0,0,0,0,0,0,16,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/ParametersChain.java,ar.com.jolisper.metachainer.test.ParametersChain,class,3,2,1,2,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,2,3,1,3,0,0,0,0,16,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/MainTest.java,ar.com.jolisper.metachainer.test.MainTest,class,17,10,1,12,45,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,67,0,0,0,0,2,21,2,19,0,19,0,0,0,0,47,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/BypassOnInvalidMethodChain.java,ar.com.jolisper.metachainer.test.BypassOnInvalidMethodChain,class,4,4,1,1,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,8,3,0,0,0,0,0,0,0,18,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/test/BreakOnErrorsClassChain.java,ar.com.jolisper.metachainer.test.BreakOnErrorsClassChain,class,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/exception/ChainError.java,ar.com.jolisper.metachainer.exception.ChainError,class,1,10,4,0,37,0.08888889,0.08888889,10,0,10,0,0,0,10,0,0,0,5,1,0,5,0,0,1,0,0,37,4,0,0,0,0,0,1,5,0,5,0,0,0,0,36,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/exception/BreakOnInvalidException.java,ar.com.jolisper.metachainer.exception.BreakOnInvalidException,class,1,2,5,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,30,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/exception/BreakOnErrorException.java,ar.com.jolisper.metachainer.exception.BreakOnErrorException,class,1,2,5,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,29,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/core/ChainFactory.java,ar.com.jolisper.metachainer.core.ChainFactory$Anonymous1,anonymous,1,3,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,3,2,0,2,1,0,0,0,5,-1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/core/ChainFactory.java,ar.com.jolisper.metachainer.core.ChainFactory,class,7,17,1,17,15,0.0,0.0,6,1,3,3,0,0,3,0,0,0,1,1,0,1,0,0,0,0,1,82,3,3,5,1,1,4,1,15,2,12,4,1,0,0,62,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/core/Chain.java,ar.com.jolisper.metachainer.core.Chain,class,7,25,1,27,10,0.3,0.3,8,0,5,3,0,0,5,0,0,0,6,0,0,6,0,0,0,0,0,110,7,2,3,3,0,7,1,20,2,18,4,0,0,0,70,1,0
/root/DesignPatternsDetection/Data/Chain_of_responsibility/jolisper_metachainer/ckmetrics/../src/ar/com/jolisper/metachainer/core/ChainContext.java,ar.com.jolisper.metachainer.core.ChainContext,class,0,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
