file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/RetryExecution.java,com.linkedlogics.execution.RetryExecution,equalRetryExecution/0,false,54,8,3,13,12,0,3,0,13,0,0,0,2,0,3,19,2,3,0,0,0,0,0,18,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/RetryExecution.java,com.linkedlogics.execution.RetryExecution,lessRetryExecution/0,false,34,8,3,13,12,0,3,0,13,0,0,0,2,0,3,19,2,3,0,0,0,0,0,18,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/RetryExecution.java,com.linkedlogics.execution.RetryExecution,moreRetryExecution/0,false,74,8,3,13,12,0,3,0,13,0,0,0,2,0,3,18,2,3,0,0,0,0,0,18,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/BasicActions.java,com.linkedlogics.execution.BasicActions,"add/2[java.util.List<java.lang.String>,java.lang.String]",false,18,3,1,1,3,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/BasicActions.java,com.linkedlogics.execution.BasicActions,"response/2[java.util.List<java.lang.String>,java.lang.String]",false,39,2,1,1,3,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/BasicActions.java,com.linkedlogics.execution.BasicActions,request/0,false,34,2,1,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/BasicActions.java,com.linkedlogics.execution.BasicActions,"retry/2[java.lang.Integer,com.linkedlogics.LogicContext]",false,45,6,2,3,7,0,1,2,3,0,0,0,0,0,0,6,5,1,1,1,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/BasicActions.java,com.linkedlogics.execution.BasicActions,"error/2[java.lang.Long,java.lang.String]",false,28,3,1,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/BasicActions.java,com.linkedlogics.execution.BasicActions,"remove/2[java.util.List<java.lang.String>,java.lang.String]",false,23,3,1,1,3,1,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Chain_of_responsibility/rdavudov_linked-logics/ckmetrics/../src/test/java/com/linkedlogics/execution/TaggedExecution.java,com.linkedlogics.execution.TaggedExecution,notagsSuccessExecution/0,false,208,8,3,14,12,0,3,0,14,0,0,0,2,0,3,23,1,3,0,0,0,0,0,18,1,0,false
