file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/EngineControls.java,com.java9s.designpattern.command.EngineControls,execute/1[java.lang.String],engine,2
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/EngineControls.java,com.java9s.designpattern.command.EngineControls,execute/1[java.lang.String],SLOW_DOWN,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/EngineControls.java,com.java9s.designpattern.command.EngineControls,execute/1[java.lang.String],SPEED_UP,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/EngineControls.java,com.java9s.designpattern.command.EngineControls,canHandle/1[java.lang.String],SLOW_DOWN,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/EngineControls.java,com.java9s.designpattern.command.EngineControls,canHandle/1[java.lang.String],SPEED_UP,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/EngineControls.java,com.java9s.designpattern.command.EngineControls,EngineControls/0,engine,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Pilot.java,com.java9s.designpattern.command.Pilot,Pilot/1[com.java9s.designpattern.command.Cockpit],cockpit,3
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Pilot.java,com.java9s.designpattern.command.Pilot,fly/0,commands,2
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Pilot.java,com.java9s.designpattern.command.Pilot,fly/0,cockpit,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Cockpit.java,com.java9s.designpattern.command.Cockpit,canHandle/1[java.lang.String],LAND,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Cockpit.java,com.java9s.designpattern.command.Cockpit,canHandle/1[java.lang.String],REACH_ALTITUDE,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Cockpit.java,com.java9s.designpattern.command.Cockpit,canHandle/1[java.lang.String],TAKE_OFF,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Cockpit.java,com.java9s.designpattern.command.Cockpit,canHandle/1[java.lang.String],EXIT,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Cockpit.java,com.java9s.designpattern.command.Cockpit,Cockpit/1[java.util.List<com.java9s.designpattern.command.CommandController>],commandControls,4
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/Cockpit.java,com.java9s.designpattern.command.Cockpit,execute/1[java.lang.String],commandControls,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,WingControls/0,wings,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,execute/1[java.lang.String],TURN_RIGHT,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,execute/1[java.lang.String],MOVE_UP,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,execute/1[java.lang.String],MOVE_DOWN,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,execute/1[java.lang.String],wings,5
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,execute/1[java.lang.String],TURN_LEFT,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,execute/1[java.lang.String],KEEP_FLAT,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,canHandle/1[java.lang.String],TURN_RIGHT,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,canHandle/1[java.lang.String],MOVE_UP,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,canHandle/1[java.lang.String],MOVE_DOWN,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,canHandle/1[java.lang.String],TURN_LEFT,1
/root/DesignPatternsDetection/Data/Command/java9s_command-pattern-example/ckmetrics/../src/com/java9s/designpattern/command/WingControls.java,com.java9s.designpattern.command.WingControls,canHandle/1[java.lang.String],KEEP_FLAT,1
