file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],op,2
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],cmd2,1
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],Waitor,3
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],cmd1,1
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],order2,5
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],order1,5
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Operator.java,Operator,MarkFruit/1[Order],str,2
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Operator.java,Operator,MarkFruit/1[Order],key,2
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Operator.java,Operator,MarkFruit/1[Order],order,2
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Order.java,Order,"setFruitmap/2[java.lang.String,int]",quantity,1
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Order.java,Order,"setFruitmap/2[java.lang.String,int]",fruitkind,1
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/Order.java,Order,setId/1[int],id,2
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/OrderCommand.java,OrderCommand,"OrderCommand/2[Operator,Order]",receiver,2
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/OrderCommand.java,OrderCommand,"OrderCommand/2[Operator,Order]",order,2
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/WaitorInvoker.java,WaitorInvoker,SetCommand/1[Command],cmd,1
/root/DesignPatternsDetection/Data/Command/kongzhimin_CommandPattern/ckmetrics/../src/WaitorInvoker.java,WaitorInvoker,OrderUp/0,cmd,2
